reward,latency,energy,completion,agree,syncs,scenario,method,tau,sync_mode,predictor,eps
-80.66977134121919,0.10534254194614634,148.21520802021683,1.0,1.0,31.0,hard,postmove_exact,1,fixed,linear,0.0
-152.44484359934629,0.14359599579138482,148.34283714825898,0.8695412677204079,0.8722916666666668,16.0,hard,postmove_exact,2,fixed,linear,0.0
-178.45582721650663,0.15742895671597942,149.38009329180028,0.8222410851139207,0.8211805555555557,11.0,hard,postmove_exact,3,fixed,linear,0.0
-209.86871645139894,0.17535477580551012,148.03323871384325,0.7626525233809878,0.7793055555555555,7.0,hard,postmove_exact,5,fixed,linear,0.0
-269.9486291113458,0.21386218131873713,148.60812788668144,0.6801439182940944,0.7121527777777776,4.0,hard,postmove_exact,10,fixed,linear,0.0
-135.6186637381091,0.09492241365765755,148.5301727477819,1.0,1.0,31.0,stress,postmove_exact,1,fixed,linear,0.0
-234.27587883512192,0.13875890831259402,149.05342816922604,0.8390476033798345,0.874375,16.0,stress,postmove_exact,2,fixed,linear,0.0
-272.6112775093769,0.16025830704023797,149.57633766875716,0.7771285798890561,0.8301562499999999,11.0,stress,postmove_exact,3,fixed,linear,0.0
-311.01969407619094,0.18094626612220913,148.8495445843536,0.7177562553170175,0.7850520833333332,7.0,stress,postmove_exact,5,fixed,linear,0.0
-390.2246556882365,0.22835272443845459,150.51159859261105,0.6071563944351406,0.7306770833333334,4.0,stress,postmove_exact,10,fixed,linear,0.0
-83.13027199553831,0.10551024653020154,148.21944148885888,1.0,0.9869444444444444,31.0,hard,current_exact,1,fixed,linear,0.0
-154.324376861876,0.14381638313255235,148.34929780523836,0.8695412677204079,0.8651388888888889,16.0,hard,current_exact,2,fixed,linear,0.0
-179.94472241910591,0.15767492759081414,149.39161621375985,0.8222410851139207,0.8151388888888886,11.0,hard,current_exact,3,fixed,linear,0.0
-213.2460705229859,0.17584717782410603,148.03621687692356,0.7626525233809878,0.774236111111111,7.0,hard,current_exact,5,fixed,linear,0.0
-274.8692062643145,0.21475438662456284,148.58756931573035,0.6792064182940943,0.70625,4.0,hard,current_exact,10,fixed,linear,0.0
-139.59408356327071,0.09507884579900618,148.5412526582578,1.0,0.9830729166666666,31.0,stress,current_exact,1,fixed,linear,0.0
-238.60417567571298,0.1390245596181352,149.07956863360144,0.8390476033798345,0.86546875,16.0,stress,current_exact,2,fixed,linear,0.0
-275.88750435489044,0.1604162584360237,149.59001018663471,0.7771285798890561,0.825,11.0,stress,current_exact,3,fixed,linear,0.0
-314.7715035802952,0.18126027172027923,148.88577181870502,0.7177562553170175,0.7812500000000001,7.0,stress,current_exact,5,fixed,linear,0.0
-393.44557867956985,0.22881197164979125,150.52774292233693,0.6069670004957466,0.7288541666666668,4.0,stress,current_exact,10,fixed,linear,0.0
-80.18073580589073,0.1052928075112041,122.51083672857524,1.0,1.0,31.0,hard,mpc_traj_h3,1,fixed,linear,0.0
-152.99178416054323,0.14360145281692877,123.1753715482943,0.8695412677204079,0.871388888888889,16.0,hard,mpc_traj_h3,2,fixed,linear,0.0
-176.76749040706295,0.15724949131746607,125.25578442583992,0.8222410851139207,0.8214583333333334,11.0,hard,mpc_traj_h3,3,fixed,linear,0.0
-205.7836418670485,0.17455269242171928,128.15575317431887,0.7626525233809878,0.7806249999999998,7.0,hard,mpc_traj_h3,5,fixed,linear,0.0
-253.30361113412474,0.2106944832656875,131.78657194924338,0.6804564182940944,0.7129861111111109,4.0,hard,mpc_traj_h3,10,fixed,linear,0.0
-134.03700037978084,0.09476095868696281,128.39134033462227,1.0,1.0,31.0,stress,mpc_traj_h3,1,fixed,linear,0.0
-232.79098074688395,0.13864569360786339,131.36826050365127,0.8390476033798345,0.8735937499999998,16.0,stress,mpc_traj_h3,2,fixed,linear,0.0
-271.36174322735474,0.1598504160991635,134.45144999187463,0.7771285798890561,0.8299479166666665,11.0,stress,mpc_traj_h3,3,fixed,linear,0.0
-307.6893084867741,0.18016092962777877,137.06874218134413,0.7177562553170175,0.7851041666666668,7.0,stress,mpc_traj_h3,5,fixed,linear,0.0
-373.7741246042863,0.22573451145581105,140.71863684990527,0.6082927580715042,0.7279166666666667,4.0,stress,mpc_traj_h3,10,fixed,linear,0.0
