reward,latency,energy,completion,agree,syncs,scenario,method,tau,sync_mode,predictor,eps,delta,task_mode
-6267.989328656508,0.2886427175573348,351.11469114101124,1.0,1.0,101.0,k3_burst,pmeo_m_eco,1,fixed,linear,0.0,,
-8307.551542906289,0.3775072056559857,358.64794060760016,0.9055278577321693,0.793156862745098,51.0,k3_burst,pmeo_m_eco,2,fixed,linear,0.0,,
-9659.760023220886,0.4992826373494216,386.1857273883576,0.843237802520793,0.6674313725490195,34.0,k3_burst,pmeo_m_eco,3,fixed,linear,0.0,,
-10112.31253388479,0.4552952480806109,379.06768673673764,0.8557379972524153,0.6219215686274511,21.0,k3_burst,pmeo_m_eco,5,fixed,linear,0.0,,
-11352.245975117447,0.5789159246017381,405.747596485826,0.7903233023776663,0.5399019607843137,11.0,k3_burst,pmeo_m_eco,10,fixed,linear,0.0,,
-5924.206364239578,0.27334911517549476,345.2587684455407,1.0,1.0,101.0,k3_burst,pmeo_m_eco,1,fixed,linear,0.0,,
-7842.626018343084,0.35891119075139166,357.789455109847,0.901693166543471,0.8002941176470587,51.0,k3_burst,pmeo_m_eco,2,fixed,linear,0.0,,
-9194.076435545896,0.4850161363414168,380.9414020466737,0.8349099098996173,0.6784509803921569,34.0,k3_burst,pmeo_m_eco,3,fixed,linear,0.0,,
-9596.318665274175,0.44371680303074257,373.62969817390194,0.8478513831035499,0.6290392156862745,21.0,k3_burst,pmeo_m_eco,5,fixed,linear,0.0,,
-10852.470157291304,0.5796794021622184,417.05206263991386,0.7717112109672678,0.5470392156862746,11.0,k3_burst,pmeo_m_eco,10,fixed,linear,0.0,,
-6611.001939399093,0.30563333740600535,350.7191862846673,1.0,1.0,101.0,k3_burst,pmeo_m_eco,1,fixed,linear,0.0,,
-8764.410555910017,0.4015887086746117,367.08141669498735,0.9061995876175754,0.7829803921568628,51.0,k3_burst,pmeo_m_eco,2,fixed,linear,0.0,,
-10170.189865908511,0.534695732152967,392.4163192838056,0.846323571648699,0.6523333333333333,34.0,k3_burst,pmeo_m_eco,3,fixed,linear,0.0,,
-10607.978142897648,0.47804089970685215,383.6955439270173,0.8622877968030684,0.6020392156862745,21.0,k3_burst,pmeo_m_eco,5,fixed,linear,0.0,,
-11990.655463853022,0.5947768359400071,424.93600558984747,0.8081205126039551,0.5233725490196078,11.0,k3_burst,pmeo_m_eco,10,fixed,linear,0.0,,
-6126.730238741866,0.2813833447362085,344.7518058720165,1.0,1.0,101.0,k3_burst,pmeo_m_eco,1,fixed,linear,0.0,,
-8097.650318277883,0.37010033907927437,353.385889735844,0.9028769669560892,0.7955098039215687,51.0,k3_burst,pmeo_m_eco,2,fixed,linear,0.0,,
-9446.99030262951,0.4931271682684562,376.41744460383103,0.8411145774458827,0.672235294117647,34.0,k3_burst,pmeo_m_eco,3,fixed,linear,0.0,,
-9780.90455332118,0.446461911518072,383.48804579011954,0.8571870350289691,0.6255490196078431,21.0,k3_burst,pmeo_m_eco,5,fixed,linear,0.0,,
-10942.1077113349,0.5618125568470062,420.6367141516761,0.7992921002942445,0.5468627450980391,11.0,k3_burst,pmeo_m_eco,10,fixed,linear,0.0,,
-6606.057724739844,0.3011117446467365,351.87827041487134,1.0,1.0,101.0,k3_burst,pmeo_m_eco,1,fixed,linear,0.0,,
-8683.609570016783,0.39540316593281155,366.53423759442893,0.9015694453032459,0.7859411764705883,51.0,k3_burst,pmeo_m_eco,2,fixed,linear,0.0,,
