reward,latency,energy,completion,agree,syncs,scenario,method,tau,sync_mode,predictor,eps,delta,task_mode
-6194.294532022453,0.28126880066845367,354.2364861333873,1.0,1.0,101.0,k3_burst_random,pmeo_m_eco,1,fixed,linear,0.0,,
-8065.931725231191,0.3737882433893569,368.116839454697,0.8964461832830419,0.7957254901960785,51.0,k3_burst_random,pmeo_m_eco,2,fixed,linear,0.0,,
-8872.217074375205,0.41349000424986276,370.1805270090525,0.8621498616125299,0.7201764705882352,34.0,k3_burst_random,pmeo_m_eco,3,fixed,linear,0.0,,
-9789.352724998422,0.4994924720807309,395.4111738669138,0.807686040633744,0.6375882352941177,21.0,k3_burst_random,pmeo_m_eco,5,fixed,linear,0.0,,
-10794.319169490827,0.580801045092724,418.338395179343,0.7694894188985426,0.5598039215686275,11.0,k3_burst_random,pmeo_m_eco,10,fixed,linear,0.0,,
-6014.109516575483,0.27655944520625986,340.56346023557273,1.0,1.0,101.0,k3_burst_random,pmeo_m_eco,1,fixed,linear,0.0,,
-7860.165667454448,0.3681922716818121,355.85081877207335,0.8946945006225793,0.7960392156862746,51.0,k3_burst_random,pmeo_m_eco,2,fixed,linear,0.0,,
-8769.849019491352,0.4251181519234494,369.4644468175853,0.8523886561022731,0.7123333333333333,34.0,k3_burst_random,pmeo_m_eco,3,fixed,linear,0.0,,
-9673.68685986011,0.5102193762676498,391.68040895095254,0.7989266335341907,0.6313725490196079,21.0,k3_burst_random,pmeo_m_eco,5,fixed,linear,0.0,,
-10690.340470472658,0.5806209907502414,415.73417646426213,0.7602467485612404,0.5579019607843136,11.0,k3_burst_random,pmeo_m_eco,10,fixed,linear,0.0,,
-6321.666864192542,0.28737523864518766,348.53147102084574,1.0,1.0,101.0,k3_burst_random,pmeo_m_eco,1,fixed,linear,0.0,,
-8319.381265802673,0.3765719451972464,356.64345296715794,0.9040102523115454,0.7935882352941177,51.0,k3_burst_random,pmeo_m_eco,2,fixed,linear,0.0,,
-9117.475587045152,0.4311240579589624,371.4289145444183,0.863228211834205,0.7169215686274509,34.0,k3_burst_random,pmeo_m_eco,3,fixed,linear,0.0,,
-10163.859561777088,0.5231327991686456,390.822860169955,0.8141884074412287,0.6286470588235294,21.0,k3_burst_random,pmeo_m_eco,5,fixed,linear,0.0,,
-11203.983041196645,0.594905430919036,423.6534350956166,0.7749758300569167,0.5555882352941176,11.0,k3_burst_random,pmeo_m_eco,10,fixed,linear,0.0,,
-6131.18066876205,0.2871112074902837,345.13510561603357,1.0,1.0,101.0,k3_burst_random,pmeo_m_eco,1,fixed,linear,0.0,,
-8134.563210846645,0.37512526565767096,358.24355992523374,0.9052163920100593,0.7935686274509803,51.0,k3_burst_random,pmeo_m_eco,2,fixed,linear,0.0,,
-8903.371605823133,0.4164433549339061,371.1049566021053,0.8688533241476899,0.718764705882353,34.0,k3_burst_random,pmeo_m_eco,3,fixed,linear,0.0,,
-9943.91714491027,0.5104946742353257,391.94306310105765,0.8163022352164733,0.6347058823529411,21.0,k3_burst_random,pmeo_m_eco,5,fixed,linear,0.0,,
-11004.364894112516,0.5722790994635927,425.414868481943,0.7804401625171768,0.5671372549019609,11.0,k3_burst_random,pmeo_m_eco,10,fixed,linear,0.0,,
-6558.077086278351,0.3120567475094503,353.87673980155853,1.0,1.0,101.0,k3_burst_random,pmeo_m_eco,1,fixed,linear,0.0,,
-8815.99594617721,0.42152433160898806,374.218549713721,0.9005174344817568,0.7785490196078432,51.0,k3_burst_random,pmeo_m_eco,2,fixed,linear,0.0,,
-9775.165315977703,0.4781008080119187,384.511951169169,0.8640350465368613,0.6867450980392157,34.0,k3_burst_random,pmeo_m_eco,3,fixed,linear,0.0,,
-10752.082324492014,0.5542846080533472,396.3082341994118,0.8243098693811548,0.6013725490196078,21.0,k3_burst_random,pmeo_m_eco,5,fixed,linear,0.0,,
-11913.882324884264,0.6501874293341441,435.2643528013068,0.773593978001416,0.5303921568627451,11.0,k3_burst_random,pmeo_m_eco,10,fixed,linear,0.0,,
-6377.888673905525,0.2883765805203181,355.68113251900866,0.989421850313302,0.9829803921568627,94.9,k3_burst_random,pmeo_m_eco,9999,adaptive,linear,0.0,10.0,per_user
-6172.166926195813,0.281878789836589,341.85098029208723,0.9894516046606642,0.9829411764705883,93.5,k3_burst_random,pmeo_m_eco,9999,adaptive,linear,0.0,10.0,per_user
-6461.156800147868,0.2928093991787832,346.2886433607425,0.9927938628121883,0.9843333333333334,95.3,k3_burst_random,pmeo_m_eco,9999,adaptive,linear,0.0,10.0,per_user
-6302.262259103757,0.29216449508241193,346.233341834575,0.9920858178643697,0.9816470588235294,94.5,k3_burst_random,pmeo_m_eco,9999,adaptive,linear,0.0,10.0,per_user
-6662.3869161973225,0.3155173422163039,352.484708941733,0.9947784447045482,0.9894705882352941,97.1,k3_burst_random,pmeo_m_eco,9999,adaptive,linear,0.0,10.0,per_user
