delta,method,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,reward,apps_arrived,apps_done,apps_failed
ablation_no_dag_order.yaml,ablate-no-DAG-order,33.49,1.0,2.032159479919444,20877.561263783842,101.6,231.6,-212.61561263783838,74.2,74.2,0.0
ablation_no_dag_order.yaml,ablate-no-DAG-order,31.12,1.0,1.9368233199505647,21403.548869333805,103.6,233.6,-217.7834886933381,75.0,75.0,0.0
ablation_no_dag_order.yaml,ablate-no-DAG-order,31.51,1.0,2.016669855949046,21090.572103032326,103.8,235.2,-214.78172103032324,75.0,75.0,0.0
ablation_no_dag_order.yaml,ablate-no-DAG-order,31.57,1.0,2.0294977885301924,23111.370651999372,98.8,227.6,-236.7457065199937,74.0,74.0,0.0
ablation_no_dag_order.yaml,ablate-no-DAG-order,30.98,1.0,2.0027102822370484,20831.99010654543,94.6,233.4,-212.13190106545431,74.6,74.6,0.0
ablation_no_energy_state.yaml,ablate-no-energy-state,31.81,0.8970102299638165,2.67951150759479,18786.67081659026,654.6,227.8,-249.8987081659026,73.6,65.8,7.0
ablation_no_energy_state.yaml,ablate-no-energy-state,32.55,0.8920603129976635,2.805492145044801,19301.66724308236,652.2,222.0,-254.00467243082363,73.6,65.4,6.6
ablation_no_energy_state.yaml,ablate-no-energy-state,31.24,0.8997387111146053,2.970214505629631,19068.245614285494,603.0,227.4,-254.71045614285495,74.2,66.4,7.2
ablation_no_energy_state.yaml,ablate-no-energy-state,31.17,0.8850744377573646,2.9376329735114,19622.15055049642,680.2,225.2,-266.7855055049642,73.8,65.0,8.0
ablation_no_energy_state.yaml,ablate-no-energy-state,31.29,0.9004266291608065,2.616367442953177,18897.006137271317,633.8,226.4,-249.3060613727132,74.2,66.6,6.8
b6_no_vw_prune.yaml,ablate-no-VWprune,29.98,0.8808417357872361,3.326845220321765,20638.953641803397,211.4,232.4,-279.201536418034,75.4,66.2,8.2
b6_no_vw_prune.yaml,ablate-no-VWprune,30.49,0.886715253279734,3.1296550649006862,20831.695989585678,203.4,228.0,-276.4489598958568,73.2,64.8,7.6
b6_no_vw_prune.yaml,ablate-no-VWprune,30.86,0.9274482147566389,2.9463874528940712,20300.78822840553,202.8,227.6,-252.2278822840554,73.8,68.4,5.4
b6_no_vw_prune.yaml,ablate-no-VWprune,30.45,0.9139185513987915,3.2243274881894344,22053.009543398177,203.8,229.4,-275.1100954339818,73.8,67.2,6.0
b6_no_vw_prune.yaml,ablate-no-VWprune,32.35,0.8910160021442326,3.257857451944969,20677.37644122939,214.8,229.6,-279.3697644122939,75.2,66.6,8.2
b4_flat.yaml,ablate-no-embed(=B4),60.29,0.6903579102874027,3.3752562918393636,18090.599550226743,250.8,183.4,-336.7179955022674,71.0,49.0,18.4
b4_flat.yaml,ablate-no-embed(=B4),52.79,0.8023853864801316,3.512193450695988,18705.30503232843,386.0,227.4,-300.6010503232843,73.0,58.2,13.2
b4_flat.yaml,ablate-no-embed(=B4),53.58,0.7488775469802427,2.9577328883039176,14197.048201319523,641.8,226.8,-292.4744820131952,72.0,53.4,17.8
b4_flat.yaml,ablate-no-embed(=B4),52.48,0.668812534359952,3.5569788114329706,18241.733404896582,369.2,190.6,-366.3133340489659,72.4,47.8,21.8
b4_flat.yaml,ablate-no-embed(=B4),51.72,0.7777931803678123,3.91402758324448,21871.609470184165,261.4,168.4,-339.1480947018416,70.6,54.8,14.0
