delta,method,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,reward,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
,ablate-no-VWprune,0.0,0.7850467289719626,2.222770330648501,23067.891086330583,452,319,0,-392.2589108633059,107,84,19,0.295,16
,ablate-no-VWprune,0.0,0.719626168224299,2.0810983497103512,22677.566210341276,226,283,0,-437.05566210341294,107,77,25,0.2955,22
,ablate-no-VWprune,0.0,0.7816091954022989,1.9875922272763362,21853.253052084638,162,258,0,-354.15253052084654,87,68,16,0.223,12
,ablate-no-VWprune,0.0,0.717391304347826,2.1000614458000766,22545.691059989902,316,259,0,-402.4969105998991,92,66,21,0.192,16
,ablate-no-VWprune,0.0,0.7142857142857143,1.9873805090368837,21234.258098228478,165,254,0,-389.2825809822848,91,65,21,0.226,15
,ablate-no-DAG-order,0.0,0.8165137614678899,1.925268304887264,24170.36130151409,96,309,293,-370.0836130151408,109,89,15,0.295,15
,ablate-no-DAG-order,0.0,0.7476635514018691,1.4580113792044915,23672.104815126822,100,270,266,-437.84104815126824,107,80,24,0.2955,24
,ablate-no-DAG-order,0.0,0.8842105263157894,1.2275587433071933,22953.02111753816,79,282,276,-298.65021117538157,95,84,8,0.223,8
,ablate-no-DAG-order,0.0,0.8207547169811321,1.5422065735778097,24429.41561974678,1325,275,280,-363.7141561974679,106,87,14,0.192,14
,ablate-no-DAG-order,0.0,0.8217821782178217,1.726329072474007,25440.824648817772,105,264,266,-365.94824648817763,101,83,13,0.226,13
,ablate-no-hard-cover,0.0,0.908256880733945,2.2897864722899635,26237.88203849754,915,345,0,-333.8188203849753,109,99,8,0.0,0
,ablate-no-hard-cover,0.0,0.8907563025210085,1.852219294353865,26006.854831742323,1192,359,0,-339.7085483174232,119,106,9,0.0,0
,ablate-no-hard-cover,0.0,0.8556701030927835,1.9934568618990316,23199.647500505944,1483,314,0,-318.83647500505936,97,83,10,0.0,0
,ablate-no-hard-cover,0.0,0.8392857142857143,2.5963055961254207,25909.798436026915,1087,335,0,-347.85798436026914,112,94,10,0.0,0
,ablate-no-hard-cover,0.0,0.88,1.979191622754801,24186.003151313624,1363,314,0,-304.46003151313624,100,88,7,0.0,0
b4_flat.yaml,ablate-no-embed(=B4),49.23,0.5401811336016291,3.5178310767788203,27129.70789841775,138.2,160.6,0.0,-548.4010789841774,94.0,50.6,33.0,0.24900000000000003,18.4
b4_flat.yaml,ablate-no-embed(=B4),47.58,0.5309190904383463,3.2834357724425187,21107.43079225706,272.2,193.4,0.0,-481.2223079225705,91.6,48.4,32.2,0.25470000000000004,18.4
b4_flat.yaml,ablate-no-embed(=B4),48.12,0.621422396937948,3.6482321196290037,26160.174078863143,102.2,195.0,0.0,-486.45374078863153,94.0,58.2,26.6,0.24900000000000003,18.2
b4_flat.yaml,ablate-no-embed(=B4),48.33,0.5336129098105359,3.541318458312825,23866.834708581744,129.4,184.6,0.0,-504.6123470858174,95.2,50.8,31.6,0.25470000000000004,20.4
b4_flat.yaml,ablate-no-embed(=B4),48.21,0.6261573691583748,3.7143331086718065,25059.498673121037,156.4,197.6,0.0,-470.80698673121043,94.2,58.6,26.0,0.24900000000000003,20.0
