method,seed,apps_arrived,apps_done,apps_failed,apps_pending,success_rate,mean_delay_s,energy_j,flight_energy_j,comm_energy_j,compute_energy_j,leo_placements,leo_invalid_attempts,reward
hover,0,82,66,14,2,0.8048780487804879,5.258094065149222,21106.185249324622,12000.0,105.80894538272317,9000.376303941906,245,957,-333.98185249324615
hover,1,69,64,4,1,0.927536231884058,2.908148398881751,19525.787662865776,12000.0,83.2412656578233,7442.546397207937,196,551,-232.77787662865768
hover,2,60,57,3,0,0.95,2.0043831461632404,16855.795852572788,12000.0,75.75689462649865,4780.038957946292,193,294,-196.11795852572791
hover,3,80,72,5,3,0.9,2.605855970927672,19033.950108752,12000.0,97.75768205936187,6936.192426692629,239,703,-236.63950108752002
hover,4,77,70,7,0,0.9090909090909091,1.7039487568463787,17249.032435890706,12000.0,97.47140292156878,5151.561032969136,251,675,-233.19032435890705
chase,0,79,64,13,2,0.810126582278481,4.713412201497391,23392.34679582601,14303.999999999998,101.93618593616308,8986.410609889861,240,946,-347.68346795826
chase,1,71,65,4,2,0.9154929577464789,2.8795962948179517,22142.735742974888,14720.0,87.5901131302381,7335.145629844653,203,586,-259.20735742974887
chase,2,60,57,3,0,0.95,2.047783037213688,18255.19594896927,13696.000000000002,77.92218735034378,4481.273761618917,194,285,-210.2119594896928
chase,3,79,69,8,2,0.8734177215189873,2.5555283176335166,22258.767998582574,14761.701277233513,97.81019251175636,7399.256528837315,239,772,-293.1676799858257
chase,4,76,69,7,0,0.9078947368421053,1.7443175350372444,19108.098138596983,14048.0,94.18883510166293,4965.9093034953175,251,658,-251.78098138596982
sweep,0,81,72,8,1,0.8888888888888888,4.156297875506259,26368.91123847085,16784.374027279413,100.79882203439927,9483.738389157017,233,638,-337.42911238470845
sweep,1,66,60,4,2,0.9090909090909091,2.5656641827471303,23527.603427765454,16771.905562842232,78.29784772185965,6677.400017201338,190,497,-273.2760342776545
sweep,2,60,54,4,2,0.9,2.1082610985385197,21736.332552831045,16769.83382371173,76.19842347427759,4890.300305645035,192,436,-254.5233255283105
sweep,3,85,76,6,3,0.8941176470588236,3.2516161363732246,26016.33273454935,16746.655718267815,105.44435718740574,9164.232659094136,243,614,-317.84332734549344
sweep,4,76,68,8,0,0.8947368421052632,1.6829772958854774,21529.765608601123,16754.213613005224,96.64162598297659,4678.91036961292,253,724,-286.0776560860112
random,0,85,74,11,0,0.8705882352941177,4.610141299407767,22726.083410738505,13359.169599391409,106.62418335384933,9260.289627993241,256,831,-325.40083410738504
random,1,70,64,5,1,0.9142857142857143,2.426639781987431,20050.584573433865,13194.819875031402,80.45912976971513,6775.3055686327625,200,640,-245.64584573433868
random,2,60,57,3,0,0.95,1.9927414791333113,17904.577742372083,13158.814923200593,76.51513284755471,4669.2476863239335,193,295,-206.5857774237208
random,3,79,69,8,2,0.8734177215189873,2.604640136741619,20683.729121423767,13127.745998370574,97.78264692376129,7458.200476129446,241,764,-277.4572912142376
random,4,79,71,8,0,0.8987341772151899,1.833009078140832,19024.823796514545,13417.562876337954,100.67279259595125,5506.588127580636,259,636,-259.3682379651455
