apps_arrived,apps_done,apps_failed,delta,energy_j,leo_invalid_attempts,leo_placements,mean_delay_s,method,reward,success_rate,wall_s
82,66,14,,21106.185249324622,957,245,5.258094065149222,hover,-333.98185249324615,0.8048780487804879,0.0
69,64,4,,19525.787662865776,551,196,2.908148398881751,hover,-232.77787662865768,0.927536231884058,0.0
60,57,3,,16855.795852572788,294,193,2.0043831461632404,hover,-196.11795852572791,0.95,0.0
80,72,5,,19033.950108752,703,239,2.605855970927672,hover,-236.63950108752002,0.9,0.0
77,70,7,,17249.032435890706,675,251,1.7039487568463787,hover,-233.19032435890705,0.9090909090909091,0.0
85,74,11,,22726.083410738505,831,256,4.610141299407767,random,-325.40083410738504,0.8705882352941177,0.0
70,64,5,,20050.584573433865,640,200,2.426639781987431,random,-245.64584573433868,0.9142857142857143,0.0
60,57,3,,17904.577742372083,295,193,1.9927414791333113,random,-206.5857774237208,0.95,0.0
79,69,8,,20683.729121423767,764,241,2.604640136741619,random,-277.4572912142376,0.8734177215189873,0.0
79,71,8,,19024.823796514545,636,259,1.833009078140832,random,-259.3682379651455,0.8987341772151899,0.0
81,72,8,,26368.91123847085,638,233,4.156297875506259,sweep,-337.42911238470845,0.8888888888888888,0.0
66,60,4,,23527.603427765454,497,190,2.5656641827471303,sweep,-273.2760342776545,0.9090909090909091,0.0
60,54,4,,21736.332552831045,436,192,2.1082610985385197,sweep,-254.5233255283105,0.9,0.0
85,76,6,,26016.33273454935,614,243,3.2516161363732246,sweep,-317.84332734549344,0.8941176470588236,0.0
76,68,8,,21529.765608601123,724,253,1.6829772958854774,sweep,-286.0776560860112,0.8947368421052632,0.0
79,64,13,,23392.34679582601,946,240,4.713412201497391,chase,-347.68346795826,0.810126582278481,0.0
71,65,4,,22142.735742974888,586,203,2.8795962948179517,chase,-259.20735742974887,0.9154929577464789,0.0
60,57,3,,18255.19594896927,285,194,2.047783037213688,chase,-210.2119594896928,0.95,0.0
79,69,8,,22258.767998582574,772,239,2.5555283176335166,chase,-293.1676799858257,0.8734177215189873,0.0
76,69,7,,19108.098138596983,658,251,1.7443175350372444,chase,-251.78098138596982,0.9078947368421053,0.0
74.2,66.2,7.0,-,18636.01085228661,626.4,229.8,2.9453920021057605,VA-DAG-HO-MAPPO,-248.74410852286604,0.8958807381424432,37.29
74.4,66.8,6.6,-,19180.114134529285,612.4,228.6,2.841128143701958,VA-DAG-HO-MAPPO,-250.85314134529295,0.9011127144460478,31.68
74.8,68.8,5.4,-,18955.294756980227,506.8,230.0,2.943950876292985,VA-DAG-HO-MAPPO,-238.97694756980226,0.9219061987993346,30.02
74.0,66.6,6.6,-,20274.41493458367,608.0,226.4,2.7787862896521642,VA-DAG-HO-MAPPO,-261.6961493458367,0.9032770041203776,29.44
74.2,66.2,7.2,-,19174.162424974173,680.0,226.2,2.6999506631874732,VA-DAG-HO-MAPPO,-255.50962424974176,0.8956845818249327,29.75
71.0,49.0,18.4,b4_flat.yaml,18090.599550226743,250.8,183.4,3.3752562918393636,B4-flat,-336.7179955022674,0.6903579102874027,54.1
73.0,58.2,13.2,b4_flat.yaml,18705.30503232843,386.0,227.4,3.512193450695988,B4-flat,-300.6010503232843,0.8023853864801316,53.94
72.0,53.4,17.8,b4_flat.yaml,14197.048201319523,641.8,226.8,2.9577328883039176,B4-flat,-292.4744820131952,0.7488775469802427,52.3
72.4,47.8,21.8,b4_flat.yaml,18241.733404896582,369.2,190.6,3.5569788114329706,B4-flat,-366.3133340489659,0.668812534359952,52.21
70.6,54.8,14.0,b4_flat.yaml,21871.609470184165,261.4,168.4,3.91402758324448,B4-flat,-339.1480947018416,0.7777931803678123,52.83
75.4,66.2,8.2,b6_no_vw_prune.yaml,20638.953641803397,211.4,232.4,3.326845220321765,B6-noVWprune,-279.201536418034,0.8808417357872361,42.68
73.2,64.8,7.6,b6_no_vw_prune.yaml,20831.695989585678,203.4,228.0,3.1296550649006862,B6-noVWprune,-276.4489598958568,0.886715253279734,41.55
73.8,68.4,5.4,b6_no_vw_prune.yaml,20300.78822840553,202.8,227.6,2.9463874528940712,B6-noVWprune,-252.2278822840554,0.9274482147566389,41.09
73.8,67.2,6.0,b6_no_vw_prune.yaml,22053.009543398177,203.8,229.4,3.2243274881894344,B6-noVWprune,-275.1100954339818,0.9139185513987915,41.13
75.2,66.6,8.2,b6_no_vw_prune.yaml,20677.37644122939,214.8,229.6,3.257857451944969,B6-noVWprune,-279.3697644122939,0.8910160021442326,36.67
71.2,54.0,16.0,b5_flat.yaml,19120.084014263,420.8,226.4,2.940412016446449,B5-SACflat,-326.94884014263,0.7645155808287518,152.92
73.2,52.6,17.6,b5_flat.yaml,25228.526995421875,295.4,163.8,3.5432602695261304,B5-SACflat,-401.95726995421876,0.7224480080572263,131.48
72.0,51.4,18.8,b5_flat.yaml,18285.288244365674,402.6,236.6,3.4051534658598257,B5-SACflat,-342.0408824436567,0.7230830414565355,145.96
73.4,55.8,15.6,b5_flat.yaml,20077.044934171085,332.8,216.0,3.626412064090867,B5-SACflat,-360.80644934171085,0.7665852554260763,144.68
73.0,56.8,15.0,b5_flat.yaml,19706.545576697157,442.6,234.2,3.08691570416857,B5-SACflat,-327.15745576697157,0.7864114331723028,143.89
