delta,method,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,reward,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
,B1-random,0.0,0.6759259259259259,1.8009718250827809,16679.486470413347,433,262,-401.8548647041334,108,73,28,0.322,26
,B1-random,0.0,0.6138613861386139,1.611740837354915,16860.420852883948,459,242,-419.2642085288395,101,62,30,0.296,26
,B1-random,0.0,0.782051282051282,1.0493497216554826,15307.670022687027,41,231,-278.79670022687026,78,61,15,0.172,15
,B1-random,0.0,0.7011494252873564,1.513708476848688,17277.97437722602,840,231,-357.31974377226027,87,61,22,0.1725,16
,B1-random,0.0,0.6263736263736264,1.548986185397941,16161.390623561685,657,224,-379.1939062356169,91,57,26,0.264,22
,B2-chase,0.0,0.6727272727272727,2.1048830289718423,18870.366683223136,240,271,-424.5636668322314,110,74,28,0.347,28
,B2-chase,0.0,0.7297297297297297,1.6747631516056822,19402.031589172922,351,292,-404.1003158917291,111,81,25,0.25,22
,B2-chase,0.0,0.7912087912087912,1.5517440571722192,18749.402622199297,393,272,-298.794026221993,91,72,13,0.1835,11
,B2-chase,0.0,0.7821782178217822,2.0497570063244273,19071.833206031588,908,305,-335.6583320603159,101,79,17,0.1635,11
,B2-chase,0.0,0.75,2.1100313538563302,19299.940094434303,963,282,-362.239400944343,96,72,20,0.2025,13
,B3-hover,0.0,0.5688073394495413,1.251818872925062,14600.109278277785,36,231,-438.4010927827778,109,62,35,0.325,35
,B3-hover,0.0,0.6138613861386139,1.5963840973513586,15428.156944413831,449,244,-404.9215694441384,101,62,30,0.3,26
,B3-hover,0.0,0.7191011235955056,1.6409448809282141,15577.968639473362,341,248,-291.2196863947336,89,64,16,0.175,14
,B3-hover,0.0,0.7011494252873564,1.533889337496867,15929.907700315496,838,232,-343.839077003155,87,61,22,0.175,16
,B3-hover,0.0,0.625,1.3258462264369417,15101.741256694731,676,215,-392.5174125669474,88,55,29,0.25,23
,Ours(T-patrol),0.0,0.7105263157894737,2.0434151196048194,21864.577049384665,889,309,-429.9857704938466,114,81,25,0.295,20
,Ours(T-patrol),0.0,0.67,1.6165307286992268,19707.670555347595,274,265,-390.5567055534759,100,67,23,0.2955,22
,Ours(T-patrol),0.0,0.8191489361702128,1.7161696621918894,21171.802378221513,236,286,-322.89802378221515,94,77,13,0.223,11
,Ours(T-patrol),0.0,0.7821782178217822,2.271419973638909,22430.188008177032,1197,296,-369.34188008177046,101,79,17,0.192,13
,Ours(T-patrol),0.0,0.673469387755102,1.7940293876785207,21017.5541334551,1131,267,-411.9955413345511,98,66,24,0.226,16
,B6-noVWprune,0.0,0.7850467289719626,2.222770330648501,23067.891086330583,452,319,-392.2589108633059,107,84,19,0.295,16
,B6-noVWprune,0.0,0.719626168224299,2.0810983497103512,22677.566210341276,226,283,-437.05566210341294,107,77,25,0.2955,22
,B6-noVWprune,0.0,0.7816091954022989,1.9875922272763362,21853.253052084638,162,258,-354.15253052084654,87,68,16,0.223,12
,B6-noVWprune,0.0,0.717391304347826,2.1000614458000766,22545.691059989902,316,259,-402.4969105998991,92,66,21,0.192,16
,B6-noVWprune,0.0,0.7142857142857143,1.9873805090368837,21234.258098228478,165,254,-389.2825809822848,91,65,21,0.226,15
b4_flat.yaml,B4-flat,55.23,0.5401811336016291,3.5178310767788203,27129.70789841775,138.2,160.6,-548.4010789841774,94.0,50.6,33.0,0.24900000000000003,18.4
b4_flat.yaml,B4-flat,53.63,0.5309190904383463,3.2834357724425187,21107.43079225706,272.2,193.4,-481.2223079225705,91.6,48.4,32.2,0.25470000000000004,18.4
b4_flat.yaml,B4-flat,60.92,0.621422396937948,3.6482321196290037,26160.174078863143,102.2,195.0,-486.45374078863153,94.0,58.2,26.6,0.24900000000000003,18.2
b4_flat.yaml,B4-flat,54.13,0.5336129098105359,3.541318458312825,23866.834708581744,129.4,184.6,-504.6123470858174,95.2,50.8,31.6,0.25470000000000004,20.4
b4_flat.yaml,B4-flat,53.24,0.6261573691583748,3.7143331086718065,25059.498673121037,156.4,197.6,-470.80698673121043,94.2,58.6,26.0,0.24900000000000003,20.0
b5_flat.yaml,B5-SACflat,141.84,0.5847416032363574,3.0711016314677715,18146.866609439418,240.2,259.8,-433.8886660943943,94.8,55.4,30.0,0.25470000000000004,20.2
b5_flat.yaml,B5-SACflat,142.65,0.5714617797981248,3.4729625577870826,23728.58782666985,179.0,187.0,-496.6218782666985,95.6,54.4,30.8,0.25470000000000004,19.8
b5_flat.yaml,B5-SACflat,141.22,0.5920008623709812,3.2712962617407855,25977.2486826331,163.8,178.4,-485.948486826331,92.8,54.6,26.8,0.25470000000000004,17.6
b5_flat.yaml,B5-SACflat,141.85,0.5929423075306322,2.9596331072018103,22117.7983395878,292.0,220.2,-463.28998339587804,94.0,55.8,28.8,0.25470000000000004,20.8
b5_flat.yaml,B5-SACflat,144.21,0.6424930436314642,2.78982366700236,21576.01240708431,203.0,237.2,-420.30812407084306,94.2,60.6,24.2,0.25470000000000004,18.2
