method,mover,layout,cell,scene_seed,hotspot_centers,success_rate,mean_delay_s,eff_latency_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
Ours(T-patrol),patrol,aligned,R800-l0.2,0,"[500.0, 150.0, 1500.0, 1850.0]",0.7105263157894737,2.0434151196048194,4.083479,21864.577049384665,889,309,0,114,81,25,0.295,20
B3-hover,hover,aligned,R800-l0.2,0,"[500.0, 150.0, 1500.0, 1850.0]",0.5688073394495413,1.251818872925062,4.565255,14600.109278277785,36,231,0,109,62,35,0.325,35
B7-hoverHot,hover,aligned,R800-l0.2,0,"[500.0, 150.0, 1500.0, 1850.0]",0.7560975609756098,2.2479822231493034,3.846035,21510.530080274468,718,317,0,123,93,22,0.275,17
Ours(T-patrol),patrol,aligned,R800-l0.2,1,"[500.0, 150.0, 1500.0, 1850.0]",0.67,1.6165307286992268,3.843076,19707.670555347595,274,265,0,100,67,23,0.2955,22
B3-hover,hover,aligned,R800-l0.2,1,"[500.0, 150.0, 1500.0, 1850.0]",0.6138613861386139,1.5963840973513586,4.544315,15428.156944413831,449,244,0,101,62,30,0.3,26
B7-hoverHot,hover,aligned,R800-l0.2,1,"[500.0, 150.0, 1500.0, 1850.0]",0.8650793650793651,2.096830469238433,3.05202,21120.70073638827,1099,374,0,126,109,13,0.175,4
Ours(T-patrol),patrol,aligned,R800-l0.2,2,"[500.0, 150.0, 1500.0, 1850.0]",0.8191489361702128,1.7161696621918894,3.065373,21171.802378221513,236,286,0,94,77,13,0.223,11
B3-hover,hover,aligned,R800-l0.2,2,"[500.0, 150.0, 1500.0, 1850.0]",0.7191011235955056,1.6409448809282141,3.337309,15577.968639473362,341,248,0,89,64,16,0.175,14
B7-hoverHot,hover,aligned,R800-l0.2,2,"[500.0, 150.0, 1500.0, 1850.0]",0.8426966292134831,1.3424226913286963,2.344738,15112.417439933324,425,301,0,89,75,9,0.2,6
Ours(T-patrol),patrol,aligned,R800-l0.2,3,"[500.0, 150.0, 1500.0, 1850.0]",0.7821782178217822,2.271419973638909,3.796457,22430.188008177032,1197,296,0,101,79,17,0.192,13
