apps_arrived,apps_done,apps_failed,delta,energy_j,leo_invalid_attempts,leo_placements,mean_delay_s,method,reward,seed,success_rate,wall_s
74.0,66.0,6.6,sens_alpha_low.yaml,18660.40617452486,632.0,229.0,2.943280111419112,alpha-low,-122.88603087262429,0,0.8958975532118737,31.88
74.2,67.4,6.2,sens_alpha_low.yaml,18878.266543840735,573.4,228.8,2.8116992699523515,alpha-low,-122.23933271920369,1,0.9119882729211086,30.04
72.4,64.0,7.0,sens_alpha_low.yaml,18750.388446923065,661.8,221.0,2.518655108930289,alpha-low,-124.65394223461533,2,0.8868928086838535,30.24
74.2,65.6,7.8,sens_alpha_low.yaml,19054.305991870748,658.6,226.8,2.9504791490605102,alpha-low,-129.75752995935372,3,0.8884536124295161,30.18
74.2,66.4,6.6,sens_alpha_low.yaml,19198.685259795737,633.0,227.4,2.789046456073553,alpha-low,-125.48342629897866,4,0.8976594289244891,30.22
75.0,66.4,7.4,sens_alpha_high.yaml,18982.124045665034,681.6,230.6,2.921669576607828,alpha-high,-511.0904809133006,0,0.8905946867786942,30.11
73.4,67.0,6.2,sens_alpha_high.yaml,19233.244502599446,572.2,229.8,2.7601666500562017,alpha-high,-500.29689005198895,1,0.9172521943184639,30.28
74.4,67.4,6.0,sens_alpha_high.yaml,18679.55926537244,561.4,227.4,2.8583269095345343,alpha-high,-481.9111853074489,2,0.9092142988180413,29.69
73.6,66.8,6.0,sens_alpha_high.yaml,20557.019667967274,579.6,224.8,2.6113146271184906,alpha-high,-518.7963933593455,3,0.9080917324985123,29.48
73.8,66.6,6.4,sens_alpha_high.yaml,18873.619821511867,626.8,221.8,2.6592940009885586,alpha-high,-491.74439643023743,4,0.9055115637194252,29.73
