method,N,K,burst,seed,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,wall_s
hover,20,2,1.0,0,1.0,1.378364647169661,9113.463778918518,17,0.08
embed,20,2,1.0,0,1.0,1.38084958183174,9455.526675102778,18,15.41
hover,20,2,1.0,1,0.9285714285714286,1.964673657969146,10518.429902654316,218,0.05
embed,20,2,1.0,1,0.9285714285714286,1.936430851955161,10561.974085237283,216,13.65
hover,20,2,1.5000000000000002,0,0.9206349206349206,1.8291343909863234,11455.515918200397,423,0.06
embed,20,2,1.5000000000000002,0,0.90625,1.8349607980668021,12029.253575367968,483,14.73
hover,20,2,1.5000000000000002,1,0.8571428571428571,3.2028376094960427,12944.780956909404,687,0.06
embed,20,2,1.5000000000000002,1,0.8571428571428571,3.220740469313333,12997.732174449335,683,14.48
hover,20,3,1.0,0,0.9130434782608695,1.1662859921707083,13459.01522856534,374,0.06
embed,20,3,1.0,0,0.9130434782608695,1.1692279281279783,13637.355691042036,370,13.76
hover,20,3,1.0,1,0.9347826086956522,1.7637443718132528,14870.340674911466,174,0.05
embed,20,3,1.0,1,0.9333333333333333,1.5990855556489891,15036.177230191639,179,13.48
hover,20,3,1.5000000000000002,0,0.96875,1.6390861281943936,16006.993780317707,169,0.05
embed,20,3,1.5000000000000002,0,1.0,1.6333184920083665,15689.05646077524,39,14.39
hover,20,3,1.5000000000000002,1,0.90625,2.403604504140952,17365.90315279195,511,0.06
embed,20,3,1.5000000000000002,1,0.9142857142857143,2.4798155411417984,17954.21177954311,536,14.58
hover,30,2,1.0,0,0.8395061728395061,4.532345909920567,15868.382423187899,880,0.07
embed,30,2,1.0,0,0.8395061728395061,4.53330304139749,15941.781722382682,880,14.91
hover,30,2,1.0,1,0.9154929577464789,3.8045671339983667,14670.336140460808,548,0.07
embed,30,2,1.0,1,0.9154929577464789,3.7340259441093404,14604.959866404079,543,14.84
hover,30,2,1.5000000000000002,0,0.7333333333333333,5.762176473475017,16526.933955191962,1592,0.08
embed,30,2,1.5000000000000002,0,0.7333333333333333,5.733054861843685,16606.253796957597,1620,16.34
hover,30,2,1.5000000000000002,1,0.7368421052631579,5.281078832369203,16521.86846378376,1405,0.08
embed,30,2,1.5000000000000002,1,0.7368421052631579,5.280908958374154,16529.635160170044,1405,16.25
hover,30,3,1.0,0,0.8048780487804879,5.258094065149222,21106.185249324622,957,0.07
embed,30,3,1.0,0,0.8795180722891566,4.366156214118539,21966.50953409262,794,14.72
hover,30,3,1.0,1,0.927536231884058,2.908148398881751,19525.787662865776,551,0.07
embed,30,3,1.0,1,0.9154929577464789,2.9123724441916456,20020.85508703374,588,14.68
hover,30,3,1.5000000000000002,0,0.7657657657657657,4.818277788194239,23885.151895166186,2019,0.09
embed,30,3,1.5000000000000002,0,0.7232142857142857,4.96904581551976,24495.391253727594,1714,15.89
hover,30,3,1.5000000000000002,1,0.9263157894736842,3.3816983713450615,22231.894002983463,525,0.07
embed,30,3,1.5000000000000002,1,0.8631578947368421,3.728484439759055,21821.253470511165,1029,16.03
hover,40,2,1.0,0,0.75,6.338194910945052,17000.681109074165,1617,0.08
embed,40,2,1.0,0,0.7596153846153846,5.960737645300887,16795.001947792294,1777,16.06
hover,40,2,1.0,1,0.8043478260869565,5.133775765569098,15293.536463035618,1177,0.07
embed,40,2,1.0,1,0.782608695652174,5.062699124716307,15427.404427380543,1162,15.82
hover,40,2,1.5000000000000002,0,0.3953488372093023,4.208614770024225,17581.038706449064,4918,0.11
embed,40,2,1.5000000000000002,0,0.3875968992248062,4.530531137040611,17829.598099832703,4934,18.57
hover,40,2,1.5000000000000002,1,0.4322033898305085,4.6603652791975305,16989.698396965126,3158,0.1
embed,40,2,1.5000000000000002,1,0.423728813559322,4.430458196510763,16888.189013804025,4040,18.28
hover,40,3,1.0,0,0.7115384615384616,6.0403827758882995,24587.03433960008,2087,0.09
embed,40,3,1.0,0,0.7524752475247525,5.8470511971059675,23716.16039188891,1727,15.9
hover,40,3,1.0,1,0.717391304347826,5.412455719758445,23357.73544181477,1378,0.08
embed,40,3,1.0,1,0.7282608695652174,5.64007366774755,23161.83904095934,1444,16.4
hover,40,3,1.5000000000000002,0,0.5190839694656488,5.371051518456362,25425.775405272176,4252,0.12
embed,40,3,1.5000000000000002,0,0.5038167938931297,5.334004275637616,26114.724239030456,4122,18.89
hover,40,3,1.5000000000000002,1,0.5546218487394958,5.5560478829004385,24742.37018338107,2922,0.1
embed,40,3,1.5000000000000002,1,0.6666666666666666,6.148848483526859,24374.899864063937,2664,18.84
