method,N,K,burst,seeds,success_rate,mean_delay_s,energy_j,leo_invalid_attempts
embed,20,2,1.0,2,0.9643±0.0357,1.6586±0.2778,10008.7504±553.2237,117.0000±99.0000
embed,20,2,1.5000000000000002,2,0.8817±0.0246,2.5279±0.6929,12513.4929±484.2393,583.0000±100.0000
embed,20,3,1.0,2,0.9232±0.0101,1.3842±0.2149,14336.7665±699.4108,274.5000±95.5000
embed,20,3,1.5000000000000002,2,0.9571±0.0429,2.0566±0.4232,16821.6341±1132.5777,287.5000±248.5000
embed,30,2,1.0,2,0.8775±0.0380,4.1337±0.3996,15273.3708±668.4109,711.5000±168.5000
embed,30,2,1.5000000000000002,2,0.7351±0.0018,5.5070±0.2261,16567.9445±38.3093,1512.5000±107.5000
embed,30,3,1.0,2,0.8975±0.0180,3.6393±0.7269,20993.6823±972.8272,691.0000±103.0000
embed,30,3,1.5000000000000002,2,0.7932±0.0700,4.3488±0.6203,23158.3224±1337.0689,1371.5000±342.5000
embed,40,2,1.0,2,0.7711±0.0115,5.5117±0.4490,16111.2032±683.7988,1469.5000±307.5000
embed,40,2,1.5000000000000002,2,0.4057±0.0181,4.4805±0.0500,17358.8936±470.7045,4487.0000±447.0000
embed,40,3,1.0,2,0.7404±0.0121,5.7436±0.1035,23438.9997±277.1607,1585.5000±141.5000
embed,40,3,1.5000000000000002,2,0.5852±0.0814,5.7414±0.4074,25244.8121±869.9122,3393.0000±729.0000
hover,20,2,1.0,2,0.9643±0.0357,1.6715±0.2932,9815.9468±702.4831,117.5000±100.5000
hover,20,2,1.5000000000000002,2,0.8889±0.0317,2.5160±0.6869,12200.1484±744.6325,555.0000±132.0000
hover,20,3,1.0,2,0.9239±0.0109,1.4650±0.2987,14164.6780±705.6627,274.0000±100.0000
hover,20,3,1.5000000000000002,2,0.9375±0.0312,2.0213±0.3823,16686.4485±679.4547,340.0000±171.0000
hover,30,2,1.0,2,0.8775±0.0380,4.1685±0.3639,15269.3593±599.0231,714.0000±166.0000
hover,30,2,1.5000000000000002,2,0.7351±0.0018,5.5216±0.2405,16524.4012±2.5327,1498.5000±93.5000
hover,30,3,1.0,2,0.8662±0.0613,4.0831±1.1750,20315.9865±790.1988,754.0000±203.0000
hover,30,3,1.5000000000000002,2,0.8460±0.0803,4.1000±0.7183,23058.5229±826.6289,1272.0000±747.0000
hover,40,2,1.0,2,0.7772±0.0272,5.7360±0.6022,16147.1088±853.5723,1397.0000±220.0000
hover,40,2,1.5000000000000002,2,0.4138±0.0184,4.4345±0.2259,17285.3686±295.6702,4038.0000±880.0000
hover,40,3,1.0,2,0.7145±0.0029,5.7264±0.3140,23972.3849±614.6494,1732.5000±354.5000
hover,40,3,1.5000000000000002,2,0.5369±0.0178,5.4635±0.0925,25084.0728±341.7026,3587.0000±665.0000
