apps_arrived,apps_done,apps_failed,energy_j,entropy,episode,eval_seed,kind,leo_invalid_attempts,leo_placements,loss,mean_adv,mean_delay_s,mean_entropy,pen_boundary,pen_collision,pen_low_battery,reward,reward_E,reward_F,reward_L,steps,success_rate
74,69,5,19994.37951255367,1.6360825300216675,0,,train,484,239,1.1653017103672028,-1.9539925233402755e-16,2.3697787001442396,1.6378769874572754,0.0,0.0,0.0,-245.06379512553676,19994.37951255367,5.0,256.0,50,0.9324324324324325
69,65,4,19659.83768973793,1.6341673135757446,1,,train,275,218,0.9735099226236343,-1.0658141036401502e-16,1.9882162868056517,1.6354844570159912,0.0,0.0,0.0,-232.83837689737933,19659.83768973793,4.0,212.0,50,0.9420289855072463
70,64,6,18722.158718945764,1.6326428651809692,2,,train,605,223,1.0226534008979797,3.108624468950438e-16,2.0621695278481167,1.633829951286316,0.0,0.0,0.0,-240.02158718945765,18722.158718945764,6.0,240.0,50,0.9142857142857143
70,64,6,20995.753382261428,1.6307697296142578,3,,train,478,211,1.0509173572063446,-8.881784197001253e-18,2.8561036303758414,1.6322040557861328,0.0,0.0,0.0,-263.7175338226143,20995.753382261428,6.0,288.0,50,0.9142857142857143
63,60,3,20154.387925023482,1.6289255619049072,4,,train,376,195,1.3458701968193054,-2.842170943040401e-16,2.6446357447308904,1.6302608251571655,0.0,0.0,0.0,-230.04387925023482,20154.387925023482,3.0,225.0,50,0.9523809523809523
65,58,7,20097.798221277862,1.6271485090255737,5,,train,499,200,1.1685816645622253,1.1546319456101628e-16,2.4908215048010844,1.6284902095794678,0.0,0.0,0.0,-262.17798221277866,20097.798221277862,7.0,260.0,50,0.8923076923076924
71,65,6,21401.584116111717,1.6253365278244019,6,,train,850,204,1.0050625503063202,3.241851231905457e-16,2.640252337741282,1.6266884803771973,0.0,0.0,0.0,-267.4758411611171,21401.584116111717,6.0,273.0,50,0.9154929577464789
66,62,4,19353.780196006504,1.6235482692718506,7,,train,437,208,1.0088240802288055,2.842170943040401e-16,2.21351632596059,1.6248964071273804,0.0,0.0,0.0,-229.81780196006503,19353.780196006504,4.0,214.0,50,0.9393939393939394
72,67,5,19668.98801803647,1.6218323707580566,8,,train,369,234,1.1513560116291046,-3.4638958368304885e-16,2.0549085860839993,1.6230957508087158,0.0,0.0,0.0,-241.30988018036467,19668.98801803647,5.0,231.0,50,0.9305555555555556
77,65,11,21080.29112726714,1.6200830936431885,9,,train,1112,234,1.067924290895462,-2.486899575160351e-16,3.6121357481181344,1.6214349269866943,0.0,0.0,0.0,-306.92291127267146,21080.29112726714,11.0,406.0,50,0.8441558441558441
73,70,3,18717.986271742644,1.6182414293289185,10,,train,501,254,1.0007837116718292,1.7763568394002505e-17,1.9831887499013967,1.6195915937423706,0.0,0.0,0.0,-215.39986271742652,18717.986271742644,3.0,211.0,50,0.958904109589041
75,67,8,21836.738281885435,1.6167097091674805,11,,train,657,216,0.9739703685045242,-6.217248937900877e-17,2.5997734411890754,1.6178267002105713,0.0,0.0,0.0,-288.46738281885445,21836.738281885435,8.0,305.0,50,0.8933333333333333
79,69,9,23010.360727534255,1.6155247688293457,12,,train,970,232,0.9098339527845383,3.108624468950438e-16,4.5845042027626235,1.616363763809204,0.0,0.0,0.0,-311.5036072753426,23010.360727534255,9.0,470.0,50,0.8734177215189873
70,60,10,21371.630712856364,1.6146527528762817,13,,train,884,212,0.9929785430431366,4.529709940470639e-16,3.480581776278308,1.6152904033660889,0.0,0.0,0.0,-300.83630712856365,21371.630712856364,10.0,356.0,50,0.8571428571428571
70,60,6,19642.467045007146,1.613735318183899,14,,train,775,203,1.0226194560527802,1.865174681370263e-16,2.2935941358772847,1.614457607269287,0.0,0.0,0.0,-249.6646704500715,19642.467045007146,6.0,262.0,50,0.8571428571428571
76,69,7,22482.24167728814,1.612763524055481,15,,train,524,218,0.9163648337125778,-1.865174681370263e-16,4.093499171015781,1.613457441329956,0.0,0.0,0.0,-288.92241677288143,22482.24167728814,7.0,405.0,50,0.9078947368421053
75,66,9,19969.928642487448,1.6120305061340332,16,,train,762,226,0.9198973774909973,-1.4210854715202004e-16,2.3786034789253563,1.6125693321228027,0.0,0.0,0.0,-277.69928642487446,19969.928642487448,9.0,300.0,50,0.88
77,70,6,22005.128973371797,1.6113011837005615,17,,train,605,209,1.0536292791366577,1.509903313490213e-16,2.7683699553816874,1.6118645668029785,0.0,0.0,0.0,-274.23128973371803,22005.128973371797,6.0,309.0,50,0.9090909090909091
66,60,5,19833.189285335244,1.6105530261993408,18,,train,511,214,0.9384479373693466,1.509903313490213e-16,2.2288315534929946,1.6110930442810059,0.0,0.0,0.0,-242.95189285335243,19833.189285335244,5.0,231.0,50,0.9090909090909091
81,71,9,23822.29306765354,1.6098729372024536,19,,train,752,217,1.0025684535503387,-1.509903313490213e-16,3.736895249810529,1.6104013919830322,0.0,0.0,0.0,-318.5629306765355,23822.29306765354,9.0,417.0,50,0.8765432098765432
94,81,13,22027.938642267385,1.608269214630127,20,,train,1185,272,1.4992002248764038,-3.375077994860476e-16,2.908772723844054,1.609659194946289,0.0,0.0,0.0,-332.87938642267386,22027.938642267385,13.0,430.0,50,0.8617021276595744
59,55,4,17416.480192041203,1.6058770418167114,21,,train,344,204,0.9509755522012711,1.2434497875801754e-16,1.4468358582176826,1.607593297958374,0.0,0.0,0.0,-209.22480192041206,17416.480192041203,4.0,153.0,50,0.9322033898305084
85,74,8,22849.309851618007,1.603886604309082,22,,train,704,242,1.1561064422130585,-1.7763568394002506e-16,3.1018145988024686,1.6054160594940186,0.0,0.0,0.0,-300.33309851618026,22849.309851618007,8.0,392.0,50,0.8705882352941177
77,70,7,22919.847335046074,1.6019841432571411,23,,train,776,225,0.9361510127782822,-4.796163466380677e-16,2.609994650939091,1.6033453941345215,0.0,0.0,0.0,-291.2384733504608,22919.847335046074,7.0,302.0,50,0.9090909090909091
71,62,6,21501.344548020996,1.6008292436599731,24,,train,581,226,0.9617613852024078,-2.575717417130363e-16,3.2822247029394567,1.6016108989715576,3.0,0.0,0.0,-272.1734454802099,21501.344548020996,6.0,308.0,50,0.8732394366197183
85,69,13,22461.886499682478,,24,0,eval,1065,241,,,5.055007903467462,0.0,7.0,0.0,0.0,-346.91886499682477,22461.886499682478,13.0,565.0,50,0.8117647058823529
70,63,5,19010.917472850644,,24,1,eval,609,205,,,2.919150662962137,0.0,0.0,0.0,0.0,-235.9891747285065,19010.917472850644,5.0,294.0,50,0.9
60,56,2,17576.393930013943,,24,2,eval,271,185,,,1.9825350157885258,0.0,0.0,0.0,0.0,-195.34393930013945,17576.393930013943,2.0,179.0,50,0.9333333333333333
79,73,4,20121.965990681263,,24,3,eval,506,239,,,2.9728695083778858,0.0,0.0,0.0,0.0,-239.57965990681262,20121.965990681263,4.0,318.0,50,0.9240506329113924
80,70,8,18647.6318581082,,24,4,eval,768,260,,,2.3599465193013405,0.0,0.0,0.0,0.0,-256.756318581082,18647.6318581082,8.0,314.0,50,0.875
74,66,8,22085.6203309539,1.6003001928329468,25,,train,636,201,1.0599992871284485,8.881784197001253e-17,2.920934565762117,1.6006683111190796,0.0,0.0,0.0,-291.3362033095391,22085.6203309539,8.0,324.0,50,0.8918918918918919
78,70,8,22337.870013086238,1.5998992919921875,26,,train,743,233,0.9333863258361816,3.5971225997855074e-16,2.79710192212899,1.6001956462860107,0.0,0.0,0.0,-293.81870013086234,22337.870013086238,8.0,322.0,50,0.8974358974358975
68,61,7,20252.611107613982,1.599433422088623,27,,train,662,191,0.9340782910585403,-3.552713678800501e-17,2.249761019079412,1.5997941493988037,0.0,0.0,0.0,-263.5861110761398,20252.611107613982,7.0,253.0,50,0.8970588235294118
85,78,7,20197.537816196767,1.598915696144104,28,,train,730,270,1.0450938045978546,3.9968028886505636e-16,2.0063546219718513,1.5992897748947144,0.0,0.0,0.0,-263.4953781619677,20197.537816196767,7.0,276.0,50,0.9176470588235294
