apps_arrived,apps_done,apps_failed,energy_j,entropy,episode,eval_seed,kind,leo_invalid_attempts,leo_placements,loss,mean_adv,mean_delay_s,mean_entropy,pen_boundary,pen_collision,pen_low_battery,reward,reward_E,reward_F,reward_L,steps,success_rate
67,51,12,22501.70464949546,12.574817657470703,0,,train,183,173,0.8588325679302216,6.394884621840901e-16,4.355815662251893,12.583581161499023,0.0,0.0,0.0,-329.1570464949546,22501.70464949546,12.0,407.0,50,0.7611940298507462
69,54,12,23474.675304168806,12.550139427185059,1,,train,111,174,0.872092992067337,-7.283063041541026e-16,5.024001414978449,12.569267535209656,0.0,0.0,0.0,-340.186753041688,23474.675304168806,12.0,472.0,50,0.782608695652174
71,55,15,21442.367375055586,12.528999328613281,2,,train,267,200,1.1830750107765198,-7.105427357601002e-17,4.261088084285478,12.546682949066161,0.0,0.0,0.0,-343.4636737505558,21442.367375055586,15.0,452.0,50,0.7746478873239436
64,43,13,22489.833169722635,12.503706932067871,3,,train,225,155,0.8951939195394516,7.993605777301127e-17,4.412342976537435,12.52164122581482,0.0,0.0,0.0,-336.69833169722637,22489.833169722635,13.0,390.0,50,0.671875
61,50,8,20789.664991945836,12.477492332458496,4,,train,139,177,0.9983936846256256,5.329070518200751e-17,4.114506531541997,12.495401515960694,0.0,0.0,0.0,-278.5566499194583,20789.664991945836,8.0,333.0,50,0.819672131147541
60,50,10,21792.565452038336,12.4563627243042,5,,train,201,162,0.895953357219696,-4.973799150320702e-16,4.753750071489866,12.476671080589295,0.0,0.0,0.0,-305.56565452038336,21792.565452038336,10.0,382.0,50,0.8333333333333334
68,56,10,24355.36808793501,12.43274974822998,6,,train,186,170,1.1559492647647858,-1.865174681370263e-16,4.711779711827015,12.454524092674255,0.0,0.0,0.0,-331.95368087935015,24355.36808793501,10.0,420.0,50,0.8235294117647058
60,50,7,24661.15035992614,12.391480445861816,7,,train,133,144,0.9399514347314835,1.865174681370263e-16,4.611687818062032,12.41159909248352,0.0,0.0,0.0,-309.6115035992614,24661.15035992614,7.0,350.0,50,0.8333333333333334
73,63,9,21914.869058894164,12.380918502807617,8,,train,185,213,0.8744700402021408,4.4408920985006264e-17,4.483225952035778,12.38883044719696,0.0,0.0,0.0,-299.60869058894167,21914.869058894164,9.0,423.0,50,0.863013698630137
79,63,16,24545.70973962947,12.375028610229492,9,,train,620,212,0.8911293745040894,7.993605777301127e-17,4.4980734826668165,12.38061007976532,0.0,0.0,0.0,-383.6170973962948,24545.70973962947,16.0,508.0,50,0.7974683544303798
68,61,6,24619.851134527784,12.366090774536133,10,,train,119,191,1.2113241851329803,-1.7763568394002506e-16,4.079728929149433,12.374552412033081,0.0,0.0,0.0,-301.27851134527776,24619.851134527784,6.0,354.0,50,0.8970588235294118
72,56,16,23120.64850768053,12.344078063964844,11,,train,187,194,0.8523258864879608,0.0,4.415702951887567,12.351295642852783,0.0,0.0,0.0,-368.5264850768053,23120.64850768053,16.0,466.0,50,0.7777777777777778
76,53,21,21881.70654657181,12.338749885559082,12,,train,254,189,0.9072388708591461,-1.4210854715202004e-16,5.263619460969702,12.341234679222106,0.0,0.0,0.0,-398.0170654657181,21881.70654657181,21.0,560.0,50,0.6973684210526315
70,46,19,22855.586755291715,12.335493087768555,13,,train,168,167,0.9475453197956085,4.796163466380677e-16,4.216300336142676,12.343371658325195,0.0,0.0,0.0,-389.7958675529171,22855.586755291715,19.0,462.0,50,0.6571428571428571
62,56,6,24154.004384783853,12.321288108825684,14,,train,247,156,0.9085600972175598,-4.4408920985006264e-17,4.609378717954233,12.335182757377625,0.0,0.0,0.0,-296.7400438478385,24154.004384783853,6.0,360.0,50,0.9032258064516129
77,57,20,21825.486139535788,12.306706428527832,15,,train,355,227,0.8536428064107895,3.907985046680551e-16,5.310033062239766,12.3155965423584,0.0,0.0,0.0,-389.6948613953578,21825.486139535788,20.0,572.0,50,0.7402597402597403
74,62,5,24984.401423211082,12.30885124206543,16,,train,72,203,0.9017289727926254,-1.9539925233402755e-16,4.606976673979231,12.311693954467774,0.0,0.0,0.0,-298.0840142321107,24984.401423211082,5.0,412.0,50,0.8378378378378378
75,64,11,24734.0962184354,12.2968111038208,17,,train,751,188,2.081633299589157,-2.708944180085382e-16,4.3262756155233015,12.303404998779296,0.0,0.0,0.0,-344.220962184354,24734.0962184354,11.0,444.0,50,0.8533333333333334
66,61,5,21681.447565679944,12.299306869506836,18,,train,63,211,1.4781767427921295,5.329070518200751e-16,4.387796509177936,12.302149863243104,0.0,0.0,0.0,-263.9544756567994,21681.447565679944,5.0,357.0,50,0.9242424242424242
