apps_arrived,apps_done,apps_failed,energy_j,episode,eval_seed,kind,leo_invalid_attempts,leo_placements,mean_delay_s,reward,success_rate
,,,,0,,train,,,,-332.7178051870805,
,,,,1,,train,,,,-361.24977365503514,
,,,,2,,train,,,,-399.4605115749686,
,,,,3,,train,,,,-341.2209470591124,
,,,,4,,train,,,,-407.9413790282834,
,,,,5,,train,,,,-281.1131039019295,
,,,,6,,train,,,,-399.8037550181952,
,,,,7,,train,,,,-313.49008789975596,
,,,,8,,train,,,,-356.48077964938324,
,,,,9,,train,,,,-429.41328066553024,
,,,,10,,train,,,,-307.8444817659938,
,,,,11,,train,,,,-325.2763755602752,
,,,,12,,train,,,,-332.999018943801,
,,,,13,,train,,,,-432.3680885632431,
,,,,14,,train,,,,-405.1552653211503,
,,,,15,,train,,,,-339.10464991275103,
,,,,16,,train,,,,-373.16686138380857,
,,,,17,,train,,,,-280.6467112203586,
,,,,18,,train,,,,-340.60250628518025,
,,,,19,,train,,,,-309.0955678441133,
,,,,20,,train,,,,-439.10595699759426,
,,,,21,,train,,,,-375.91340283003547,
,,,,22,,train,,,,-426.33691065698963,
,,,,23,,train,,,,-316.7396673303651,
,,,,24,,train,,,,-329.75594325025355,
,,,,25,,train,,,,-298.91685708912604,
,,,,26,,train,,,,-348.7749155428901,
,,,,27,,train,,,,-328.9938090014937,
,,,,28,,train,,,,-365.19540438925804,
,,,,29,,train,,,,-399.5724288398894,
,,,,30,,train,,,,-297.19038694094644,
,,,,31,,train,,,,-358.81030018799515,
,,,,32,,train,,,,-423.1087854392063,
,,,,33,,train,,,,-274.41857184400936,
,,,,34,,train,,,,-390.15090921596436,
,,,,35,,train,,,,-445.6084013888304,
,,,,36,,train,,,,-407.0513627545825,
,,,,37,,train,,,,-526.0765335107361,
,,,,38,,train,,,,-413.7938872961618,
,,,,39,,train,,,,-463.4990086983054,
,,,,40,,train,,,,-485.6307372202034,
,,,,41,,train,,,,-472.704078959786,
,,,,42,,train,,,,-434.1659295124645,
,,,,43,,train,,,,-375.77384939242546,
,,,,44,,train,,,,-385.549930955692,
,,,,45,,train,,,,-357.114622275177,
,,,,46,,train,,,,-387.9906965171107,
,,,,47,,train,,,,-424.9378115961506,
,,,,48,,train,,,,-507.477301909078,
,,,,49,,train,,,,-387.71010443912684,
78,64,13,24444.284129093387,49,0,eval,144,197,3.9175386627139512,-357.3828412909338,0.8205128205128205
69,55,9,24183.445144033587,49,1,eval,19,157,5.011000913095216,-322.51445144033596,0.7971014492753623
57,42,12,20736.857671757625,49,2,eval,125,127,3.016717313588798,-309.52857671757624,0.7368421052631579
82,63,15,24095.92905429148,49,3,eval,152,186,3.5761224285176465,-370.2192905429148,0.7682926829268293
77,61,13,24135.437983597938,49,4,eval,131,169,3.374598550309202,-353.4943798359794,0.7922077922077922
,,,,50,,train,,,,-431.4480698599769,
,,,,51,,train,,,,-438.79595019610684,
,,,,52,,train,,,,-438.56228596424586,
,,,,53,,train,,,,-372.7993146398858,
,,,,54,,train,,,,-465.3789906990921,
