apps_arrived,apps_done,apps_failed,dep_violations,energy_j,entropy,episode,eval_seed,fail_uncovered,frac_unassociated,kind,leo_invalid_attempts,leo_placements,loss,mean_adv,mean_delay_s,mean_entropy,pen_boundary,pen_collision,pen_low_battery,reward,reward_E,reward_F,reward_L,steps,success_rate
84,60,19,0,25051.6750424752,15.301087379455566,0,,15,0.2685,train,88,204,0.7947582453489304,3.108624468950438e-16,3.8959445361298117,15.304182682037354,0.0,0.0,0.0,-412.89675042475204,25051.6750424752,19.0,519.0,50,0.7142857142857143
104,59,28,0,25804.02291004578,15.28857421875,1,,15,0.238,train,145,225,0.8061584979295731,1.9539925233402755e-16,4.028562961225464,15.289191627502442,0.0,0.0,0.0,-496.0602291004579,25804.02291004578,28.0,701.0,50,0.5673076923076923
73,49,19,0,22031.704048102198,15.294631004333496,2,,17,0.295,train,266,176,0.8169738501310349,-5.595524044110789e-16,3.394508110709241,15.30081485748291,0.0,0.0,0.0,-381.13704048102187,22031.704048102198,19.0,441.0,50,0.6712328767123288
73,49,17,0,23923.179357120436,15.275771141052246,3,,12,0.231,train,65,169,0.8190417885780334,-8.881784197001253e-17,3.3970316229867232,15.286345081329346,0.0,0.0,0.0,-383.73179357120426,23923.179357120436,17.0,425.0,50,0.6712328767123288
78,46,26,0,25190.33035189205,15.267062187194824,4,,25,0.2915,train,20,131,0.8194397389888763,5.773159728050814e-16,3.92361345625826,15.275514316558837,0.0,0.0,0.0,-470.7633035189206,25190.33035189205,26.0,543.0,50,0.5897435897435898
75,46,19,0,26777.49519653858,15.250078201293945,5,,11,0.182,train,94,144,0.8172941654920578,-3.375077994860476e-16,4.011954461881044,15.259368839263916,0.0,0.0,0.0,-429.4549519653859,26777.49519653858,19.0,484.0,50,0.6133333333333333
93,61,19,0,29333.95779302467,15.233863830566406,6,,16,0.3125,train,61,172,0.8120460659265518,3.375077994860476e-16,4.480867521259148,15.245404262542724,0.0,0.0,0.0,-457.17957793024675,29333.95779302467,19.0,592.0,50,0.6559139784946236
86,43,26,0,26173.598300537593,15.21638011932373,7,,24,0.313,train,72,124,0.7964767962694168,-3.552713678800501e-16,3.58146559196658,15.23321460723877,0.0,0.0,0.0,-480.9759830053758,26173.598300537593,26.0,562.0,50,0.5
84,58,18,0,24548.578928339397,15.185273170471191,8,,16,0.278,train,75,183,0.8105213642120361,-3.641531520770513e-16,3.5395598543430444,15.207579441070557,0.0,0.0,0.0,-399.365789283394,24548.578928339397,18.0,494.0,50,0.6904761904761905
78,49,20,0,26677.660286726797,15.1487455368042,9,,15,0.2095,train,112,140,0.8008308410644531,9.769962616701378e-17,4.2920834905071885,15.171528663635254,0.0,0.0,0.0,-437.116602867268,26677.660286726797,20.0,517.0,50,0.6282051282051282
81,54,18,0,26920.55519034226,15.120844841003418,10,,11,0.1825,train,75,161,0.7995034456253052,6.661338147750939e-16,4.495018252849748,15.141743564605713,0.0,0.0,0.0,-424.1255519034227,26920.55519034226,18.0,546.0,50,0.6666666666666666
103,71,19,0,28658.171710918556,15.08072566986084,11,,10,0.143,train,139,251,0.7805637717247009,-9.769962616701378e-17,4.35201489187706,15.102358741760254,0.0,0.0,0.0,-451.24171710918563,28658.171710918556,19.0,633.0,50,0.6893203883495146
68,50,12,0,25836.733105968284,15.08694839477539,12,,10,0.251,train,112,160,0.7736877351999283,3.108624468950438e-16,4.1636000440792325,15.092164897918702,0.0,0.0,0.0,-363.04733105968273,25836.733105968284,12.0,434.0,50,0.7352941176470589
79,55,17,0,24082.05172873051,15.088540077209473,13,,9,0.207,train,108,188,0.7970567941665649,-5.950795411990839e-16,3.0982285646947862,15.087038383483886,0.0,0.0,0.0,-385.6405172873051,24082.05172873051,17.0,441.0,50,0.6962025316455697
92,54,22,0,27011.564016552595,15.068292617797852,14,,14,0.2205,train,154,193,0.7701562494039536,6.661338147750939e-16,3.526461393844759,15.080645542144776,0.0,0.0,0.0,-457.775640165526,27011.564016552595,22.0,583.0,50,0.5869565217391305
88,41,35,0,24606.74633592069,15.05351734161377,15,,32,0.3505,train,50,123,0.7650932371616364,-4.4408920985006264e-17,4.021742820247373,15.068373470306396,0.0,0.0,0.0,-539.687463359207,24606.74633592069,35.0,681.0,50,0.4659090909090909
101,54,33,0,27783.36203459888,15.007070541381836,16,,21,0.2345,train,87,171,0.7514529973268509,-3.641531520770513e-16,5.295601770041302,15.022575607299805,0.0,0.0,0.0,-557.8536203459888,27783.36203459888,33.0,801.0,50,0.5346534653465347
96,59,32,0,28332.6591884585,15.009479522705078,17,,24,0.201,train,93,191,0.77166648209095,-9.769962616701378e-17,4.030542120081054,15.013595714569092,0.0,0.0,0.0,-552.726591884585,28332.6591884585,32.0,670.0,50,0.6145833333333334
76,50,19,0,26375.27536730135,15.03193187713623,18,,19,0.2845,train,65,150,0.7264190912246704,-9.769962616701378e-17,4.275475423453898,15.035426826477051,0.0,0.0,0.0,-426.07275367301355,26375.27536730135,19.0,516.0,50,0.6578947368421053
90,55,24,0,27308.259114976157,15.00097942352295,19,,20,0.2885,train,97,176,0.7338457852602005,-3.730349362740526e-16,3.5814356433109538,15.008368263244629,0.0,0.0,0.0,-476.7025911497616,27308.259114976157,24.0,581.0,50,0.6111111111111112
88,51,28,0,27429.532292370277,14.992260932922363,20,,22,0.258,train,34,155,0.7108469158411026,1.4210854715202004e-16,3.755921519612629,15.007847824096679,0.0,0.0,0.0,-510.65532292370284,27429.532292370277,28.0,618.0,50,0.5795454545454546
73,42,23,0,23333.520215482822,14.983262062072754,21,,23,0.341,train,20,137,0.7181005328893661,2.6645352591003756e-16,3.054664786186256,15.00509786605835,0.0,0.0,0.0,-426.75520215482834,23333.520215482822,23.0,471.0,50,0.5753424657534246
96,64,23,0,26988.287522743663,14.931707382202148,22,,17,0.2535,train,157,221,0.7103977501392365,3.8191672047105384e-16,3.8194153508206887,14.939371433258056,0.0,0.0,0.0,-466.0228752274367,26988.287522743663,23.0,607.0,50,0.6666666666666666
65,42,18,0,27373.26506819472,14.94051742553711,23,,10,0.27,train,32,116,0.7537190169095993,2.3092638912203257e-16,4.960967573506137,14.94649076461792,0.0,0.0,0.0,-427.0926506819473,27373.26506819472,18.0,468.0,50,0.6461538461538462
91,46,31,0,27780.487657791597,14.925724029541016,24,,26,0.189,train,76,136,0.7088104337453842,-8.881784197001253e-18,3.7745903338985256,14.933985710144043,0.0,0.0,0.0,-538.144876577916,27780.487657791597,31.0,617.0,50,0.5054945054945055
94,47,34,0,31028.777024688734,,24,0,23,0.3095,eval,70,99,,,4.987783440730555,0.0,0.0,0.0,0.0,-597.1477702468873,31028.777024688734,34.0,743.0,50,0.5
93,44,37,0,29024.42700641904,,24,1,29,0.3075,eval,127,105,,,4.953879311816595,0.0,0.0,0.0,0.0,-600.9842700641904,29024.42700641904,37.0,737.0,50,0.4731182795698925
78,40,26,0,27103.180737243492,,24,2,13,0.2125,eval,47,121,,,3.4209190835078447,0.0,0.0,0.0,0.0,-489.8918073724349,27103.180737243492,26.0,543.0,50,0.5128205128205128
92,36,41,0,28576.377959756748,,24,3,22,0.206,eval,57,82,,,3.6765559256470084,0.0,0.0,0.0,0.0,-628.4637795975674,28576.377959756748,41.0,735.0,50,0.391304347826087
91,32,44,0,30264.88119745283,,24,4,20,0.238,eval,17,80,,,4.466566957905992,0.0,0.0,0.0,0.0,-670.0488119745283,30264.88119745283,44.0,770.0,50,0.3516483516483517
59,42,13,0,25686.97832588697,14.960885047912598,25,,11,0.2145,train,86,115,0.6953325271606445,1.2434497875801754e-16,3.9386144233266664,14.949020977020263,0.0,0.0,0.0,-367.9897832588696,25686.97832588697,13.0,356.0,50,0.711864406779661
74,52,15,0,26089.294208901287,14.965789794921875,26,,9,0.1875,train,162,169,0.7279225587844849,2.6645352591003756e-16,4.209478659134007,14.95189733505249,0.0,0.0,0.0,-389.91294208901286,26089.294208901287,15.0,451.0,50,0.7027027027027027
92,55,28,0,29307.957106805003,14.955094337463379,27,,21,0.2645,train,25,150,0.6626231297850609,2.1316282072803005e-16,4.4823571060000775,14.952915840148925,0.0,0.0,0.0,-530.1795710680501,29307.957106805003,28.0,655.0,50,0.5978260869565217
81,46,24,0,27782.668843395742,14.976065635681152,28,,16,0.2225,train,99,145,0.7091345936059952,3.108624468950438e-16,4.550743712473618,14.968203411102294,0.0,0.0,0.0,-481.42668843395734,27782.668843395742,24.0,580.0,50,0.5679012345679012
96,64,10,0,27309.95216302174,14.984466552734375,29,,6,0.1655,train,118,208,0.7015672475099564,-4.1744385725905884e-16,3.962167316285795,14.980113773345947,0.0,0.0,0.0,-363.2395216302175,27309.95216302174,10.0,507.0,50,0.6666666666666666
70,40,20,0,22942.462684515292,14.994223594665527,30,,19,0.3525,train,69,124,0.6887470781803131,-1.0658141036401502e-16,3.0786432824149825,14.998269805908203,0.0,0.0,0.0,-397.764626845153,22942.462684515292,20.0,417.0,50,0.5714285714285714
64,48,10,0,26340.015968825493,15.000563621520996,31,,10,0.2385,train,26,130,0.7067531198263168,-5.240252676230739e-16,3.8077432127314075,15.006896610260009,0.0,0.0,0.0,-350.48015968825496,26340.015968825493,10.0,354.0,50,0.75
87,58,23,0,28218.21505291134,14.940532684326172,32,,17,0.1935,train,98,181,0.6735773831605911,1.0658141036401502e-16,4.2967004650946095,14.94958200454712,0.0,0.0,0.0,-477.9621505291132,28218.21505291134,23.0,589.0,50,0.6666666666666666
