apps_arrived,apps_done,apps_failed,energy_j,episode,eval_seed,fail_uncovered,frac_unassociated,kind,leo_invalid_attempts,leo_placements,mean_delay_s,reward,success_rate
,,,,0,,,,train,,,,-447.2115800558597,
,,,,1,,,,train,,,,-444.35622508582316,
,,,,2,,,,train,,,,-464.6231875799652,
,,,,3,,,,train,,,,-445.4723098160416,
,,,,4,,,,train,,,,-452.4934057713478,
,,,,5,,,,train,,,,-362.08019445480596,
,,,,6,,,,train,,,,-354.6115337741187,
,,,,7,,,,train,,,,-409.5058354077674,
,,,,8,,,,train,,,,-489.0962583236005,
,,,,9,,,,train,,,,-447.08623816920385,
,,,,10,,,,train,,,,-372.55606439886174,
,,,,11,,,,train,,,,-542.2217592435368,
,,,,12,,,,train,,,,-439.8610111790948,
,,,,13,,,,train,,,,-474.55259762697597,
,,,,14,,,,train,,,,-386.45587580548863,
,,,,15,,,,train,,,,-344.0789441354074,
,,,,16,,,,train,,,,-331.2244311638364,
,,,,17,,,,train,,,,-410.9821137697762,
,,,,18,,,,train,,,,-515.9200054097084,
,,,,19,,,,train,,,,-342.4759963084826,
,,,,20,,,,train,,,,-436.65083134754474,
,,,,21,,,,train,,,,-447.17965775942133,
,,,,22,,,,train,,,,-432.937389288775,
,,,,23,,,,train,,,,-369.68128552833485,
,,,,24,,,,train,,,,-455.56205175502686,
,,,,25,,,,train,,,,-481.49505419126916,
,,,,26,,,,train,,,,-558.2853950941094,
,,,,27,,,,train,,,,-459.508094907291,
,,,,28,,,,train,,,,-460.24588088088524,
,,,,29,,,,train,,,,-526.9339912244888,
,,,,30,,,,train,,,,-331.52112102653433,
,,,,31,,,,train,,,,-450.83100685018036,
,,,,32,,,,train,,,,-378.7289458323424,
,,,,33,,,,train,,,,-444.00944152756006,
,,,,34,,,,train,,,,-371.50544254986784,
,,,,35,,,,train,,,,-287.52840213862265,
,,,,36,,,,train,,,,-469.5973565572743,
,,,,37,,,,train,,,,-394.6001996916285,
,,,,38,,,,train,,,,-361.4661445208247,
,,,,39,,,,train,,,,-544.343444718123,
,,,,40,,,,train,,,,-556.729201246823,
,,,,41,,,,train,,,,-487.4848201167936,
,,,,42,,,,train,,,,-400.84780853030617,
,,,,43,,,,train,,,,-408.2181271804183,
,,,,44,,,,train,,,,-496.5224411496788,
,,,,45,,,,train,,,,-465.37768333011115,
,,,,46,,,,train,,,,-402.6180038912837,
,,,,47,,,,train,,,,-478.1430014261375,
,,,,48,,,,train,,,,-540.2657396862116,
,,,,49,,,,train,,,,-438.28752761568506,
101,50,39,25095.420322070502,49,0,24,0.2885,eval,157,200,4.273906048646363,-578.5142032207051,0.49504950495049505
91,60,23,24621.18474386421,49,1,20,0.297,eval,94,206,3.386683653654444,-441.45184743864206,0.6593406593406593
80,46,24,24107.8151674395,49,2,17,0.2125,eval,148,148,3.2585769395211632,-443.47815167439506,0.575
99,61,26,21562.359133670725,49,3,15,0.206,eval,205,249,3.362028720982175,-436.0635913367073,0.6161616161616161
87,46,36,18751.16747350582,49,4,21,0.238,eval,422,197,2.602498154413978,-487.67167473505816,0.5287356321839081
,,,,50,,,,train,,,,-401.4579975363506,
,,,,51,,,,train,,,,-477.9964101193369,
,,,,52,,,,train,,,,-454.3890989483019,
,,,,53,,,,train,,,,-418.89181731009023,
,,,,54,,,,train,,,,-337.23107497131184,
,,,,55,,,,train,,,,-447.2527175837416,
,,,,56,,,,train,,,,-405.4552410282378,
,,,,57,,,,train,,,,-519.3848252075974,
,,,,58,,,,train,,,,-275.97248069814555,
,,,,59,,,,train,,,,-388.5527370446256,
,,,,60,,,,train,,,,-380.1198575306259,
,,,,61,,,,train,,,,-362.94389103227417,
,,,,62,,,,train,,,,-456.41776083221237,
,,,,63,,,,train,,,,-386.61276481757784,
,,,,64,,,,train,,,,-663.1319864283746,
,,,,65,,,,train,,,,-434.4460976785468,
,,,,66,,,,train,,,,-465.8686571313148,
,,,,67,,,,train,,,,-365.9360342260904,
,,,,68,,,,train,,,,-452.30225251378124,
,,,,69,,,,train,,,,-412.5524955348313,
,,,,70,,,,train,,,,-462.98808408558807,
,,,,71,,,,train,,,,-443.6794468368095,
,,,,72,,,,train,,,,-372.27474776510024,
,,,,73,,,,train,,,,-408.3060240636219,
,,,,74,,,,train,,,,-455.7192918789211,
,,,,75,,,,train,,,,-364.3774476109562,
,,,,76,,,,train,,,,-444.65009385656765,
,,,,77,,,,train,,,,-274.17041201779193,
,,,,78,,,,train,,,,-341.6107608406659,
,,,,79,,,,train,,,,-480.55743518931183,
,,,,80,,,,train,,,,-392.99830663730677,
,,,,81,,,,train,,,,-625.4119079514372,
,,,,82,,,,train,,,,-367.85612437140765,
,,,,83,,,,train,,,,-349.5933964519245,
,,,,84,,,,train,,,,-482.9119706548828,
,,,,85,,,,train,,,,-407.4723880520472,
,,,,86,,,,train,,,,-421.7331844904694,
,,,,87,,,,train,,,,-428.3343739718194,
,,,,88,,,,train,,,,-594.4985003119732,
,,,,89,,,,train,,,,-393.8701214832836,
,,,,90,,,,train,,,,-430.66069646241124,
,,,,91,,,,train,,,,-503.51974941791156,
,,,,92,,,,train,,,,-371.0793574250965,
,,,,93,,,,train,,,,-412.9634119217106,
,,,,94,,,,train,,,,-406.95264197852566,
,,,,95,,,,train,,,,-429.9755571700272,
,,,,96,,,,train,,,,-396.33759266151577,
,,,,97,,,,train,,,,-587.4209178734761,
,,,,98,,,,train,,,,-405.68993037727006,
,,,,99,,,,train,,,,-418.8137448605019,
100,57,36,22774.168157169377,99,0,23,0.295,eval,269,224,3.6613276363372758,-529.8016815716937,0.57
98,59,33,20474.9312509527,99,1,24,0.2935,eval,387,227,3.73690510144497,-481.98931250952694,0.6020408163265306
79,56,17,24883.258535843812,99,2,13,0.2125,eval,33,174,3.1987758257030365,-393.85258535843826,0.7088607594936709
96,66,19,21310.58397091387,99,3,11,0.206,eval,470,266,3.032745873771053,-375.72583970913877,0.6875
93,50,34,19958.73502075728,99,4,19,0.238,eval,314,221,3.7131011251004185,-485.1273502075728,0.5376344086021505
,,,,100,,,,train,,,,-368.5012184332468,
,,,,101,,,,train,,,,-566.0296791962555,
,,,,102,,,,train,,,,-311.28125015203403,
,,,,103,,,,train,,,,-491.14608654413183,
,,,,104,,,,train,,,,-431.2049145592405,
,,,,105,,,,train,,,,-424.45784960076213,
,,,,106,,,,train,,,,-414.115148334256,
,,,,107,,,,train,,,,-431.5009164234237,
,,,,108,,,,train,,,,-375.85267488131365,
,,,,109,,,,train,,,,-414.883161641987,
,,,,110,,,,train,,,,-440.32445980193455,
,,,,111,,,,train,,,,-282.6460402671615,
,,,,112,,,,train,,,,-475.82800558495967,
,,,,113,,,,train,,,,-507.6173240198422,
,,,,114,,,,train,,,,-487.0593038828461,
,,,,115,,,,train,,,,-459.46459113634245,
,,,,116,,,,train,,,,-379.90617419607014,
,,,,117,,,,train,,,,-404.9917473717837,
,,,,118,,,,train,,,,-407.7475127228722,
,,,,119,,,,train,,,,-586.7583101413485,
,,,,120,,,,train,,,,-502.9143379866124,
,,,,121,,,,train,,,,-427.3256178299652,
,,,,122,,,,train,,,,-354.8796548465146,
,,,,123,,,,train,,,,-367.4662668310362,
,,,,124,,,,train,,,,-484.34579902262914,
,,,,125,,,,train,,,,-345.7520308035563,
,,,,126,,,,train,,,,-504.92051195267703,
,,,,127,,,,train,,,,-364.50957244101505,
,,,,128,,,,train,,,,-481.0066298306439,
,,,,129,,,,train,,,,-366.71553169310357,
,,,,130,,,,train,,,,-492.98089564387817,
,,,,131,,,,train,,,,-439.0253267106731,
,,,,132,,,,train,,,,-400.75416847700376,
,,,,133,,,,train,,,,-389.28658940308577,
,,,,134,,,,train,,,,-570.7100185781129,
,,,,135,,,,train,,,,-548.127505016877,
,,,,136,,,,train,,,,-307.5492147474196,
,,,,137,,,,train,,,,-356.1377950896403,
,,,,138,,,,train,,,,-342.5841197150001,
,,,,139,,,,train,,,,-419.3390931817145,
,,,,140,,,,train,,,,-436.74679878313117,
,,,,141,,,,train,,,,-401.76104285426203,
,,,,142,,,,train,,,,-475.43053938036735,
,,,,143,,,,train,,,,-388.02258887605643,
,,,,144,,,,train,,,,-530.7032170814623,
,,,,145,,,,train,,,,-487.1385109323159,
,,,,146,,,,train,,,,-372.64943258936626,
,,,,147,,,,train,,,,-523.6766077063156,
,,,,148,,,,train,,,,-365.78019158898053,
,,,,149,,,,train,,,,-471.1712131317689,
106,61,40,21574.178408688975,149,0,25,0.2885,eval,500,251,3.4209540110369225,-550.7417840868898,0.5754716981132075
99,57,28,20900.46113481957,149,1,21,0.297,eval,273,217,2.500294941551253,-444.8046113481957,0.5757575757575758
85,64,17,25547.554996359344,149,2,14,0.2125,eval,114,204,2.816312291040967,-400.3555499635932,0.7529411764705882
96,64,22,24339.7674102773,149,3,13,0.206,eval,371,213,3.178184456974985,-430.53767410277294,0.6666666666666666
92,59,26,19857.70574411785,149,4,18,0.238,eval,171,227,2.5034914490804523,-417.2570574411786,0.6413043478260869
,,,,150,,,,train,,,,-283.1111616082867,
,,,,151,,,,train,,,,-461.78115789040584,
,,,,152,,,,train,,,,-357.3220628537314,
,,,,153,,,,train,,,,-363.23685160846406,
,,,,154,,,,train,,,,-386.3108100781829,
,,,,155,,,,train,,,,-543.6887688036106,
,,,,156,,,,train,,,,-303.2029847434128,
,,,,157,,,,train,,,,-370.72588940714434,
,,,,158,,,,train,,,,-385.74531723631765,
,,,,159,,,,train,,,,-418.16830951002464,
,,,,160,,,,train,,,,-376.47241463243574,
,,,,161,,,,train,,,,-317.65505081360124,
,,,,162,,,,train,,,,-370.9331433327838,
,,,,163,,,,train,,,,-397.28308648279074,
,,,,164,,,,train,,,,-419.81794135165757,
,,,,165,,,,train,,,,-332.8292930760745,
,,,,166,,,,train,,,,-427.9925623135041,
,,,,167,,,,train,,,,-484.51408089817977,
,,,,168,,,,train,,,,-390.06137223631004,
,,,,169,,,,train,,,,-432.44188251133636,
,,,,170,,,,train,,,,-335.4384733573798,
,,,,171,,,,train,,,,-342.30886741521454,
,,,,172,,,,train,,,,-425.27291060504257,
,,,,173,,,,train,,,,-458.6348400953877,
,,,,174,,,,train,,,,-435.823016405036,
,,,,175,,,,train,,,,-403.0466314008196,
,,,,176,,,,train,,,,-441.35292947340355,
,,,,177,,,,train,,,,-386.4161479705842,
,,,,178,,,,train,,,,-476.2007611117321,
,,,,179,,,,train,,,,-397.88782995937123,
,,,,180,,,,train,,,,-478.326902539047,
,,,,181,,,,train,,,,-457.734292279724,
,,,,182,,,,train,,,,-358.7092912961944,
,,,,183,,,,train,,,,-407.93807488763355,
,,,,184,,,,train,,,,-385.7352492812777,
,,,,185,,,,train,,,,-487.3095768174296,
,,,,186,,,,train,,,,-422.7508692683195,
,,,,187,,,,train,,,,-458.0598242526938,
,,,,188,,,,train,,,,-477.07769663518616,
,,,,189,,,,train,,,,-358.9372969606288,
,,,,190,,,,train,,,,-393.9512982007756,
,,,,191,,,,train,,,,-402.29064549868616,
,,,,192,,,,train,,,,-378.9974463882266,
,,,,193,,,,train,,,,-300.95585236818454,
,,,,194,,,,train,,,,-442.47309222636966,
,,,,195,,,,train,,,,-392.8660959893682,
,,,,196,,,,train,,,,-405.9903648551148,
,,,,197,,,,train,,,,-470.01223372771796,
,,,,198,,,,train,,,,-372.9027013002804,
,,,,199,,,,train,,,,-513.0692595434804,
108,66,34,23123.810432714276,199,0,24,0.2885,eval,248,259,3.099295879929687,-516.9181043271428,0.6111111111111112
106,60,31,19976.76026517633,199,1,26,0.297,eval,89,246,3.0123287461389396,-461.58760265176335,0.5660377358490566
83,58,16,25888.84562274566,199,2,11,0.2125,eval,43,195,2.7569249102507634,-395.2684562274566,0.6987951807228916
