apps_arrived,apps_done,apps_failed,energy_j,entropy,episode,eval_seed,kind,leo_invalid_attempts,leo_placements,loss,mean_adv,mean_delay_s,mean_entropy,reward,steps,success_rate
84,64,20,24862.941316354973,1.6378990411758423,0,,train,1263,239,1.0588198602199554,-2.6645352591003756e-17,5.014684701196944,1.6378769874572754,-420.40941316354974,50,0.7619047619047619
79,76,2,22560.24250284797,1.6365453004837036,1,,train,218,219,1.0973779261112213,-2.6645352591003756e-17,3.176982445156337,1.6379015445709229,-247.84242502847974,50,0.9620253164556962
71,63,8,20291.155303438212,1.634549856185913,2,,train,640,220,0.9607278257608414,1.509903313490213e-16,2.490318492397365,1.6360143423080444,-272.6515530343821,50,0.8873239436619719
81,77,4,21584.80549139898,1.632734775543213,3,,train,338,253,1.034642517566681,1.687538997430238e-16,2.824268906139877,1.6341063976287842,-253.92805491398974,50,0.9506172839506173
74,65,9,20356.289321166485,1.6308369636535645,4,,train,820,225,1.0263744592666626,-2.575717417130363e-16,2.597264297634387,1.6322665214538574,-281.68289321166486,50,0.8783783783783784
75,66,9,22164.186639523392,1.6290472745895386,5,,train,677,220,1.0299627035856247,-4.440892098500626e-18,3.632704233320787,1.6303542852401733,-301.221866395234,50,0.88
65,57,8,19767.14001632296,1.627449631690979,6,,train,651,195,1.03713458776474,4.4408920985006264e-17,2.368356292260343,1.6286354064941406,-266.9314001632297,50,0.8769230769230769
89,82,7,25080.50186334465,1.6258149147033691,7,,train,535,234,1.0249981880187988,-5.506706202140776e-16,3.9195812496961553,1.6270660161972046,-315.6250186334466,50,0.9213483146067416
65,60,5,18278.98314190526,1.6238899230957031,8,,train,390,217,1.1227302849292755,-2.575717417130363e-16,2.0508181195562036,1.6253764629364014,-227.04983141905265,50,0.9230769230769231
77,70,7,21175.703716648484,1.622120976448059,9,,train,739,234,0.9734654575586319,3.9968028886505636e-16,2.8531071398019847,1.6233481168746948,-274.07703716648484,50,0.9090909090909091
74,65,9,20226.509038926295,1.6207375526428223,10,,train,784,220,1.0026546716690063,2.3980817331903383e-16,2.1292277915985816,1.6218271255493164,-279.8650903892629,50,0.8783783783783784
70,68,2,17791.76154377842,1.6190073490142822,11,,train,252,250,0.9703164249658585,7.460698725481052e-16,1.7956670776497332,1.6203138828277588,-197.61761543778422,50,0.9714285714285714
81,72,8,23330.235000099554,1.6172159910202026,12,,train,796,232,1.0140802264213562,2.2204460492503132e-17,4.115294706481808,1.6185636520385742,-306.0423500009956,50,0.8888888888888888
85,70,15,23326.25837419625,1.6147363185882568,13,,train,1283,249,1.3352723717689514,-1.1990408665951691e-16,3.0254750767092236,1.6167696714401245,-361.7225837419623,50,0.8235294117647058
79,69,10,20421.981619755337,1.6117818355560303,14,,train,858,236,1.0645299553871155,8.881784197001253e-17,2.6784675201694585,1.6139376163482666,-290.9598161975534,50,0.8734177215189873
82,62,20,22388.357862893725,1.6096627712249756,15,,train,1858,227,2.8088386058807373,3.064215547965432e-16,3.9618567211509856,1.6111253499984741,-394.1635786289373,50,0.7560975609756098
64,57,7,19516.688337828247,1.6083433628082275,16,,train,369,192,1.1206020563840866,3.108624468950438e-16,2.2919425242843867,1.6092877388000488,-255.96688337828252,50,0.890625
65,59,5,19050.45536680908,1.6069921255111694,17,,train,556,204,1.0656364411115646,1.9984014443252818e-16,2.019995697363847,1.6080608367919922,-234.9245536680908,50,0.9076923076923077
77,75,2,20144.780946445273,1.6053208112716675,18,,train,258,240,1.0482978820800781,1.9984014443252818e-16,2.22631703214398,1.6065785884857178,-221.94780946445272,50,0.974025974025974
72,63,9,22323.404516940198,1.6033971309661865,19,,train,820,201,1.0224866569042206,3.9968028886505636e-16,3.0171588400770504,1.6048953533172607,-301.8340451694019,50,0.875
62,54,8,17796.13350775518,1.6013445854187012,20,,train,730,201,0.9231686145067215,-1.3322676295501878e-16,1.708971837666381,1.6028426885604858,-246.32133507755182,50,0.8709677419354839
83,71,12,23387.920308253342,1.5995919704437256,21,,train,849,234,0.9017215818166733,7.105427357601002e-17,3.723014381155865,1.6008901596069336,-338.73920308253344,50,0.8554216867469879
76,70,6,19240.004753878453,1.5977118015289307,22,,train,1017,251,1.1534988284111023,-6.661338147750939e-17,1.8924658083663872,1.5991742610931396,-245.16004753878454,50,0.9210526315789473
68,59,9,19670.837800304726,1.5958892107009888,23,,train,959,200,0.9137210249900818,-1.6431300764452317e-16,2.4680103151343546,1.5971744060516357,-274.4083780030473,50,0.8676470588235294
65,61,4,18139.382453053957,1.5942785739898682,24,,train,518,219,1.1681357026100159,-1.2434497875801754e-16,2.233308200319095,1.595552682876587,-217.69382453053953,50,0.9384615384615385
96,85,8,23051.37470843386,1.5924501419067383,25,,train,766,274,0.9330676347017288,3.552713678800501e-17,2.7190373948285482,1.593798041343689,-302.45374708433866,50,0.8854166666666666
62,58,4,19772.6700320172,1.5907243490219116,26,,train,312,199,0.9792720973491669,6.217248937900877e-17,2.567472563997824,1.5920276641845703,-234.266700320172,50,0.9354838709677419
92,85,7,24511.081149148788,1.5890334844589233,27,,train,759,263,0.9247312545776367,-2.1316282072803005e-16,3.4622309656736796,1.590280532836914,-314.57081149148786,50,0.9239130434782609
69,58,11,21530.058367060446,1.587620735168457,28,,train,843,204,0.9298700839281082,1.509903313490213e-16,3.0589827099588467,1.5886396169662476,-309.9405836706045,50,0.8405797101449275
84,74,10,23011.988305503408,1.5864965915679932,29,,train,807,245,2.188608318567276,-2.9309887850104134e-16,2.770581431728407,1.5873302221298218,-317.31988305503415,50,0.8809523809523809
78,69,9,23359.023140639805,1.5856298208236694,30,,train,677,226,1.2159344553947449,-7.993605777301127e-17,4.2452625307515,1.5862096548080444,-314.3302314063981,50,0.8846153846153846
64,60,4,19413.627757418435,1.5853040218353271,31,,train,329,205,0.8882386982440948,5.329070518200751e-17,2.16879534660184,1.5855249166488647,-230.27627757418435,50,0.9375
77,61,16,22576.952077131424,1.5849974155426025,32,,train,1039,224,1.0905459523200989,1.9984014443252818e-16,3.7683616644191282,1.5852546691894531,-362.8495207713143,50,0.7922077922077922
90,83,6,23589.6904661556,1.584473729133606,33,,train,697,256,0.9395218789577484,-2.3092638912203257e-16,2.6192545189380905,1.5848679542541504,-290.4769046615561,50,0.9222222222222223
65,65,0,18055.528554065182,1.5837024450302124,34,,train,46,220,1.1553350239992142,1.865174681370263e-16,1.9568184549382277,1.5843342542648315,-183.85528554065183,50,1.0
71,66,3,19816.835501126323,1.5827202796936035,35,,train,341,228,0.9042661935091019,5.062616992290713e-16,2.392573174066435,1.5834078788757324,-227.06835501126332,50,0.9295774647887324
78,73,5,22775.66556366722,1.5816563367843628,36,,train,459,221,1.5615119636058807,-9.325873406851315e-17,3.678034235098599,1.5825443267822266,-275.0166556366721,50,0.9358974358974359
74,67,7,21548.68075918367,1.579972743988037,37,,train,631,225,1.2528014481067657,1.3322676295501878e-16,3.0321484620521413,1.5812410116195679,-277.9068075918366,50,0.9054054054054054
