apps_arrived,apps_done,apps_failed,energy_j,entropy,episode,eval_seed,kind,leo_invalid_attempts,leo_placements,loss,mean_adv,mean_delay_s,mean_entropy,pen_boundary,pen_collision,pen_low_battery,reward,reward_E,reward_F,reward_L,steps,success_rate
66,61,3,20792.67848196454,1.6360924243927002,0,,train,451,197,1.2656201124191284,-3.552713678800501e-17,2.7382342829968946,1.6378769874572754,0.0,0.0,0.0,-236.98678481964544,20792.67848196454,3.0,253.0,50,0.9242424242424242
69,57,12,22438.243749404162,1.6342220306396484,1,,train,679,192,0.9967015534639359,1.9539925233402755e-16,4.099553664843841,1.6355161666870117,0.0,0.0,0.0,-328.5224374940417,22438.243749404162,12.0,407.0,50,0.8260869565217391
68,60,8,19195.146501303057,1.6327122449874878,2,,train,628,208,1.7684894800186157,-7.105427357601002e-17,2.015216639905618,1.63389253616333,5.0,0.0,0.0,-265.9114650130306,19195.146501303057,8.0,248.0,50,0.8823529411764706
81,73,8,22954.777074513124,1.6310323476791382,3,,train,765,240,1.0263529121875763,2.3092638912203257e-16,3.0828821968721796,1.632251262664795,1.0,0.0,0.0,-301.64777074513114,22954.777074513124,8.0,355.0,50,0.9012345679012346
68,62,6,20698.622478409423,1.6296486854553223,4,,train,470,197,1.0817521214485168,1.7763568394002505e-17,2.6531219599861067,1.6306605339050293,0.0,0.0,0.0,-260.2662247840943,20698.622478409423,6.0,264.0,50,0.9117647058823529
71,61,8,20437.999159643237,1.6282178163528442,5,,train,755,215,1.3598649203777313,5.329070518200751e-16,2.6863525597199724,1.6293286085128784,0.0,0.0,0.0,-274.4999915964323,20437.999159643237,8.0,306.0,50,0.8591549295774648
78,68,10,22501.27536414045,1.626783847808838,6,,train,813,229,1.0095414072275162,2.3092638912203257e-16,4.022306892253511,1.6278159618377686,0.0,0.0,0.0,-313.6327536414046,22501.27536414045,10.0,431.0,50,0.8717948717948718
80,71,9,23388.40460022323,1.6256647109985352,7,,train,801,243,1.02974434196949,5.329070518200751e-17,3.94864788322087,1.626488447189331,0.0,0.0,0.0,-314.3040460022324,23388.40460022323,9.0,421.0,50,0.8875
77,69,8,23196.58781323751,1.624659538269043,8,,train,676,219,0.9873070865869522,2.708944180085382e-16,3.681324522419709,1.6254061460494995,0.0,0.0,0.0,-303.7458781323751,23196.58781323751,8.0,389.0,50,0.8961038961038961
85,75,8,21056.08132252742,1.6236833333969116,9,,train,970,252,1.0018180310726166,-7.105427357601002e-17,2.720767116203301,1.6244182586669922,0.0,0.0,0.0,-281.2608132252742,21056.08132252742,8.0,335.0,50,0.8823529411764706
87,74,12,23456.465190599738,1.622590184211731,10,,train,1151,257,1.228356957435608,-3.2862601528904633e-16,3.602729543630807,1.6234350204467773,0.0,0.0,0.0,-339.6846519059973,23456.465190599738,12.0,456.0,50,0.8505747126436781
68,60,8,19321.020447286537,1.6213397979736328,11,,train,775,217,1.1223523616790771,-7.105427357601002e-17,1.9886468504113117,1.6222896575927734,0.0,0.0,0.0,-262.15020447286537,19321.020447286537,8.0,247.0,50,0.8823529411764706
90,84,6,22988.08343703318,1.6197766065597534,12,,train,824,282,1.2905917167663574,-3.4638958368304885e-16,2.8358969731313715,1.621008276939392,0.0,0.0,0.0,-284.90083437033184,22988.08343703318,6.0,351.0,50,0.9333333333333333
73,67,6,19986.708804158316,1.6180882453918457,13,,train,521,215,1.0157534629106522,-2.575717417130363e-16,2.266828596936721,1.6193101406097412,0.0,0.0,0.0,-253.14708804158317,19986.708804158316,6.0,264.0,50,0.9178082191780822
70,64,6,20622.151337035517,1.6166858673095703,14,,train,432,199,0.9922998994588852,1.0658141036401502e-16,2.6748817007782124,1.617733359336853,0.0,0.0,0.0,-259.6415133703552,20622.151337035517,6.0,271.0,50,0.9142857142857143
73,66,5,22080.83917293652,1.615135669708252,15,,train,402,208,1.3906474113464355,1.687538997430238e-16,2.9734709401967954,1.6163409948349,0.0,0.0,0.0,-266.62839172936526,22080.83917293652,5.0,291.0,50,0.9041095890410958
66,57,9,19566.582953736528,1.613458514213562,16,,train,1138,208,1.0236713290214539,1.509903313490213e-16,2.1286501935173456,1.6146769523620605,0.0,0.0,0.0,-272.7858295373654,19566.582953736528,9.0,256.0,50,0.8636363636363636
72,65,7,19915.35921665783,1.6120465993881226,17,,train,803,216,0.9048827588558197,-6.217248937900877e-17,2.4505640777168285,1.613084316253662,0.0,0.0,0.0,-260.6535921665784,19915.35921665783,7.0,275.0,50,0.9027777777777778
83,72,10,22478.753168455583,1.610697865486145,18,,train,829,233,0.9956806004047394,0.0,2.7507962089296707,1.611722707748413,0.0,0.0,0.0,-311.88753168455577,22478.753168455583,10.0,355.0,50,0.8674698795180723
85,79,6,21640.507076087095,1.609114408493042,19,,train,465,243,1.0484959930181503,1.5987211554602254e-16,2.5750022923103515,1.6103391647338867,0.0,0.0,0.0,-270.66507076087095,21640.507076087095,6.0,313.0,50,0.9294117647058824
75,63,10,20835.454258446673,1.6074646711349487,20,,train,827,231,0.9280044436454773,-1.2434497875801754e-16,2.5737925178160914,1.6086690425872803,0.0,0.0,0.0,-294.75454258446666,20835.454258446673,10.0,320.0,50,0.84
71,62,9,20425.299080155324,1.6060512065887451,21,,train,694,206,0.9726915210485458,1.7763568394002506e-16,2.8028167149203456,1.6071008443832397,0.0,0.0,0.0,-282.5329908015533,20425.299080155324,9.0,314.0,50,0.8732394366197183
78,70,7,20905.30930849318,1.6047475337982178,22,,train,876,246,0.9302925616502762,2.1316282072803005e-16,2.872951415933961,1.605712652206421,0.0,0.0,0.0,-271.49309308493184,20905.30930849318,7.0,322.0,50,0.8974358974358975
79,70,7,22077.758369294315,1.6033990383148193,23,,train,710,236,1.108372539281845,-2.1316282072803005e-16,2.9297138849514544,1.6044367551803589,0.0,0.0,0.0,-283.23758369294313,22077.758369294315,7.0,323.0,50,0.8860759493670886
83,72,10,21112.26158763485,1.602062702178955,24,,train,1026,242,0.9219364523887634,3.375077994860476e-16,2.747441118955519,1.6030223369598389,0.0,0.0,0.0,-298.34261587634853,21112.26158763485,10.0,361.0,50,0.8674698795180723
73,67,6,19435.916806583547,1.6010091304779053,25,,train,524,241,0.853567436337471,-2.353672812205332e-16,2.1336504266325242,1.6017869710922241,0.0,0.0,0.0,-247.33916806583545,19435.916806583547,6.0,249.0,50,0.9178082191780822
70,67,3,19068.975838792336,1.5997285842895508,26,,train,387,228,1.2740751802921295,8.881784197001253e-18,1.7073730729372623,1.6007585525512695,0.0,0.0,0.0,-218.34975838792334,19068.975838792336,3.0,183.0,50,0.9571428571428572
83,71,12,24140.231170864947,1.5981429815292358,27,,train,760,221,0.9058001339435577,-3.552713678800501e-17,3.5767004195281613,1.5992927551269531,0.0,0.0,0.0,-346.02231170864945,24140.231170864947,12.0,431.0,50,0.8554216867469879
83,70,13,23720.065967654886,1.5968695878982544,28,,train,949,236,0.9587804973125458,-4.929390229335695e-16,4.235991303781019,1.5977997779846191,0.0,0.0,0.0,-350.9806596765489,23720.065967654886,13.0,489.0,50,0.8433734939759037
75,71,4,19483.381689521593,1.5957269668579102,29,,train,379,238,0.899304136633873,-1.4210854715202004e-16,2.139764596830269,1.596578598022461,0.0,0.0,0.0,-231.55381689521593,19483.381689521593,4.0,236.0,50,0.9466666666666667
71,64,7,20628.303693136975,1.5947448015213013,30,,train,594,203,0.9039584249258041,-1.687538997430238e-16,2.2873003354640113,1.59544038772583,0.0,0.0,0.0,-267.5630369313697,20628.303693136975,7.0,264.0,50,0.9014084507042254
67,58,7,19566.238067045288,1.5934953689575195,31,,train,676,199,2.419357120990753,-9.769962616701378e-17,2.4317220730825904,1.5945591926574707,0.0,0.0,0.0,-257.0623806704529,19566.238067045288,7.0,270.0,50,0.8656716417910447
76,67,9,19892.189248071907,1.5915523767471313,32,,train,775,234,1.9178771674633026,-3.9968028886505636e-16,2.6163320848432194,1.5929896831512451,0.0,0.0,0.0,-277.3218924807191,19892.189248071907,9.0,320.0,50,0.881578947368421
69,61,8,19717.48745476408,1.5897161960601807,33,,train,685,220,2.046828478574753,-2.220446049250313e-16,2.1128427290561533,1.5910975933074951,0.0,0.0,0.0,-266.27487454764076,19717.48745476408,8.0,255.0,50,0.8840579710144928
85,74,10,22564.66294009938,1.5879696607589722,34,,train,1187,248,0.9843186289072037,1.865174681370263e-16,3.0161470460533892,1.589247226715088,0.0,0.0,0.0,-313.4666294009939,22564.66294009938,10.0,391.0,50,0.8705882352941177
73,61,10,20126.60536453529,1.58649480342865,35,,train,1390,220,1.011956050992012,-3.9968028886505636e-16,2.182505648154796,1.587571144104004,0.0,0.0,0.0,-287.26605364535294,20126.60536453529,10.0,300.0,50,0.8356164383561644
83,75,8,21766.094651638392,1.5852982997894287,36,,train,681,255,0.9164957851171494,8.881784197001253e-17,2.724106947595269,1.5861629247665405,0.0,0.0,0.0,-288.4009465163839,21766.094651638392,8.0,337.0,50,0.9036144578313253
86,71,13,25176.613658893515,1.5843241214752197,37,,train,1074,246,0.907051756978035,0.0,4.784676486582942,1.5850433111190796,0.0,0.0,0.0,-366.8461365889352,25176.613658893515,13.0,554.0,50,0.8255813953488372
83,72,11,22573.926679441138,1.5834105014801025,38,,train,1081,221,0.8977836221456528,7.993605777301127e-17,2.6370095268356604,1.5840905904769897,0.0,0.0,0.0,-320.8592667944113,22573.926679441138,11.0,356.0,50,0.8674698795180723
79,72,7,18793.27036477507,1.5825289487838745,39,,train,727,259,0.8959142118692398,3.4638958368304885e-16,1.8759268323204457,1.5831780433654785,0.0,0.0,0.0,-248.97270364775068,18793.27036477507,7.0,252.0,50,0.9113924050632911
67,62,5,20449.03431012924,1.5817358493804932,40,,train,360,211,0.8604098260402679,7.993605777301127e-17,3.095459673237076,1.582320213317871,0.0,0.0,0.0,-250.27034310129244,20449.03431012924,5.0,289.0,50,0.9253731343283582
71,64,7,20329.80714410224,1.5810734033584595,41,,train,697,216,0.8722803890705109,-6.039613253960852e-16,2.518493682318968,1.5815472602844238,0.0,0.0,0.0,-264.8380714410224,20329.80714410224,7.0,277.0,50,0.9014084507042254
70,64,6,19762.831237413044,1.580512523651123,42,,train,704,209,0.9200328141450882,1.0658141036401502e-16,2.1700705236451023,1.5809402465820312,0.0,0.0,0.0,-250.4083123741304,19762.831237413044,6.0,239.0,50,0.9142857142857143
71,63,8,22329.677310483523,1.5799121856689453,43,,train,612,190,0.8703560680150986,-6.661338147750939e-17,3.3128686863251295,1.5803550481796265,0.0,0.0,0.0,-294.0167731048352,22329.677310483523,8.0,336.0,50,0.8873239436619719
