apps_arrived,apps_done,apps_failed,energy_j,entropy,episode,eval_seed,kind,leo_invalid_attempts,leo_placements,loss,mean_adv,mean_delay_s,mean_entropy,reward,steps,success_rate
83,63,15,23808.039084863554,12.588526725769043,0,,train,102,220,0.8610982298851013,5.329070518200751e-17,5.4858191518133195,12.591191291809082,-369.7403908486356,50,0.7590361445783133
78,55,19,24129.53815980455,12.576709747314453,1,,train,274,197,0.9089552909135818,-4.529709940470639e-16,4.970879623224305,12.58326171875,-404.1553815980455,50,0.7051282051282052
77,57,16,24987.91715837476,12.566566467285156,2,,train,134,202,0.8638466745615005,4.707345624410664e-16,4.807115852404248,12.574642457962035,-388.5191715837476,50,0.7402597402597403
77,65,11,24199.51264946979,12.556621551513672,3,,train,101,225,1.0042017102241516,4.440892098500626e-16,4.540784388666441,12.56482364654541,-339.275126494698,50,0.8441558441558441
69,55,13,22451.55783870644,12.544866561889648,4,,train,109,189,0.8579559475183487,-1.4210854715202004e-16,5.044425739533603,12.554833598136902,-337.85557838706444,50,0.7971014492753623
73,57,16,23808.939481050398,12.520756721496582,5,,train,219,194,0.924917995929718,-3.108624468950438e-16,4.5721799682163375,12.53769157409668,-375.669394810504,50,0.7808219178082192
64,51,13,23466.957837145914,12.502643585205078,6,,train,113,166,0.9438834488391876,1.509903313490213e-16,5.003334647792292,12.515043678283691,-347.4695783714592,50,0.796875
85,62,21,24639.238167585045,12.497979164123535,7,,train,315,211,0.903654545545578,1.4210854715202004e-16,4.1297172154032395,12.502780952453612,-425.27238167585057,50,0.7294117647058823
65,58,5,22530.47034672671,12.499099731445312,8,,train,200,202,1.0558759719133377,2.708944180085382e-16,3.685477798418652,12.505494995117187,-271.40470346726715,50,0.8923076923076924
68,59,6,23206.17210112957,12.463447570800781,9,,train,169,179,0.8749691098928452,-1.865174681370263e-16,4.611067413346212,12.480621461868287,-288.1417210112956,50,0.8676470588235294
69,59,10,24216.330652088098,12.455728530883789,10,,train,166,180,1.023931086063385,6.394884621840901e-16,4.361366099548013,12.465798029899597,-330.34330652088096,50,0.855072463768116
69,55,14,22110.809075885223,12.447789192199707,11,,train,292,197,0.9149083942174911,1.9539925233402755e-16,3.873428462573173,12.449776091575622,-341.32809075885234,50,0.7971014492753623
77,54,23,24264.056817435547,12.440046310424805,12,,train,711,204,1.063683494925499,1.4210854715202004e-16,4.481273569002241,12.443705058097839,-437.60056817435554,50,0.7012987012987013
75,64,10,22872.586370922076,12.436335563659668,13,,train,409,215,0.8379754722118378,-7.993605777301127e-17,3.4966946641564185,12.442057895660401,-316.2658637092208,50,0.8533333333333334
73,58,15,25278.23774005959,12.425848960876465,14,,train,477,188,0.7937635332345963,4.3076653355456073e-16,5.714426640493643,12.435674395561218,-383.62237740059595,50,0.7945205479452054
86,61,25,24173.269002451092,12.402867317199707,15,,train,399,216,1.7151186764240265,2.1316282072803005e-16,4.784073804707357,12.407895617485046,-454.23269002451093,50,0.7093023255813954
60,51,9,20980.321862348417,12.415586471557617,16,,train,77,177,0.7771382480859756,-4.440892098500626e-16,4.604207587590773,12.418010683059693,-290.18321862348415,50,0.85
62,55,7,22512.813455812415,12.408771514892578,17,,train,118,174,1.0302109122276306,-8.881784197001253e-18,4.570010825936055,12.413036270141601,-288.4681345581241,50,0.8870967741935484
72,53,19,23430.547567354348,12.408990859985352,18,,train,288,194,0.872287929058075,-4.085620730620576e-16,4.2459695865734695,12.410059356689453,-395.8854756735435,50,0.7361111111111112
67,53,13,23743.442580093506,12.398297309875488,19,,train,135,173,1.623010516166687,-3.552713678800501e-16,4.952376010002373,12.398424034118653,-350.45442580093504,50,0.7910447761194029
59,50,7,20052.33572565468,12.417108535766602,20,,train,215,167,0.8280141353607178,1.4210854715202004e-16,4.892736709814736,12.419253807067872,-263.5633572565468,50,0.847457627118644
80,60,18,24272.0238822293,12.398181915283203,21,,train,509,196,0.812528595328331,-3.019806626980426e-16,4.792253858393876,12.403138465881348,-397.420238822293,50,0.75
84,67,15,25367.52465621727,12.382980346679688,22,,train,142,239,0.8372841328382492,-2.6645352591003756e-17,5.150590347454123,12.385323667526245,-385.1352465621727,50,0.7976190476190477
68,45,22,21655.16069537552,12.390700340270996,23,,train,129,183,0.8979987055063248,-3.552713678800501e-16,5.01767100622757,12.391086511611938,-402.9916069537552,50,0.6617647058823529
60,50,7,21844.854196642707,12.411181449890137,24,,train,111,160,0.8077455461025238,3.019806626980426e-16,3.3446549756864554,12.413026099205018,-280.32854196642705,50,0.8333333333333334
88,68,16,27059.201078099184,12.37560749053955,25,,train,119,213,0.7823232561349869,-7.105427357601002e-17,5.151452578528598,12.378657131195068,-410.5320107809919,50,0.7727272727272727
59,50,8,19578.137738660036,12.387065887451172,26,,train,134,185,0.9664413332939148,1.3322676295501878e-16,4.622819792181434,12.395393495559693,-266.8813773866004,50,0.847457627118644
86,69,15,25971.012904928502,12.355805397033691,27,,train,113,238,0.761335164308548,1.7763568394002506e-16,5.1673681107373595,12.36722966194153,-396.4501290492849,50,0.8023255813953488
