apps_arrived,apps_done,apps_failed,energy_j,entropy,episode,eval_seed,kind,leo_invalid_attempts,leo_placements,loss,mean_adv,mean_delay_s,mean_entropy,pen_boundary,pen_collision,pen_low_battery,reward,reward_E,reward_F,reward_L,steps,success_rate
69,58,10,24530.017480358758,12.582229614257812,0,,train,371,182,1.1505637764930725,-1.509903313490213e-16,4.93981500514192,12.57863655090332,0.0,0.0,0.0,-334.04017480358755,24530.017480358758,10.0,437.0,50,0.8405797101449275
67,54,13,21092.102041605947,12.58189868927002,1,,train,171,192,1.1237558424472809,4.1744385725905884e-16,4.789196197745258,12.582634272575378,0.0,0.0,0.0,-323.7610204160594,21092.102041605947,13.0,442.0,50,0.8059701492537313
65,55,10,21747.573768443654,12.57912540435791,2,,train,318,190,0.9125111103057861,-8.881784197001253e-18,4.261085952760148,12.582058382034301,0.0,0.0,0.0,-305.11573768443657,21747.573768443654,10.0,382.0,50,0.8461538461538461
78,56,19,19890.719790128343,12.574593544006348,3,,train,268,234,0.9932079762220383,-4.618527782440651e-16,4.278707566828814,12.576828022003173,0.0,0.0,0.0,-360.9271979012835,19890.719790128343,19.0,501.0,50,0.717948717948718
63,55,8,23335.040556588057,12.571571350097656,4,,train,118,167,0.9634888917207718,3.2862601528904633e-16,4.14411808494501,12.574974265098572,0.0,0.0,0.0,-304.4104055658806,23335.040556588057,8.0,353.0,50,0.873015873015873
63,50,11,22909.434411348702,12.564104080200195,5,,train,220,168,1.1296411752700806,5.329070518200751e-17,4.969690963984465,12.568329858779908,0.0,0.0,0.0,-325.434344113487,22909.434411348702,11.0,417.0,50,0.7936507936507936
77,57,19,25411.783409837073,12.557682991027832,6,,train,446,205,0.8756828159093857,-1.3322676295501878e-16,5.026841350028883,12.562075996398926,0.0,0.0,0.0,-417.0578340983707,25411.783409837073,19.0,547.0,50,0.7402597402597403
74,50,22,22552.32673365052,12.551301002502441,7,,train,163,198,0.8864633291959763,5.329070518200751e-17,5.679731516261897,12.555044245719909,0.0,0.0,0.0,-413.1432673365052,22552.32673365052,22.0,581.0,50,0.6756756756756757
72,58,13,24438.257492181798,12.550549507141113,8,,train,236,195,1.0015775561332703,8.881784197001253e-18,4.841653610590868,12.553207559585571,0.0,0.0,0.0,-357.86257492181795,24438.257492181798,13.0,474.0,50,0.8055555555555556
75,55,20,23020.85333566434,12.545472145080566,9,,train,279,191,0.8210829943418503,-1.865174681370263e-16,4.8447409143735864,12.54798843383789,0.0,0.0,0.0,-400.9485333566434,23020.85333566434,20.0,537.0,50,0.7333333333333333
77,56,17,22967.696774357668,12.541206359863281,10,,train,249,205,0.9479092508554459,-1.865174681370263e-16,4.298674121708608,12.544651765823364,0.0,0.0,0.0,-375.63696774357675,22967.696774357668,17.0,498.0,50,0.7272727272727273
65,50,15,21557.09915410829,12.542648315429688,11,,train,142,185,0.9420455545186996,-2.7977620220553945e-16,4.316451311361512,12.544625487327576,0.0,0.0,0.0,-343.9909915410829,21557.09915410829,15.0,421.0,50,0.7692307692307693
88,57,23,27116.131391947252,12.531819343566895,12,,train,235,197,0.8118096888065338,1.687538997430238e-16,5.327460363038079,12.532642188072204,0.0,0.0,0.0,-468.1613139194724,27116.131391947252,23.0,650.0,50,0.6477272727272727
72,59,12,23856.10579302361,12.53438949584961,13,,train,393,195,1.295892059803009,8.881784197001253e-18,4.491687250275819,12.53626368522644,0.0,0.0,0.0,-343.4210579302362,23856.10579302361,12.0,443.0,50,0.8194444444444444
66,45,20,22944.941661076027,12.527192115783691,14,,train,250,170,0.7616855949163437,-7.105427357601002e-17,4.419858287416869,12.534085440635682,0.0,0.0,0.0,-398.7094166107603,22944.941661076027,20.0,463.0,50,0.6818181818181818
66,53,13,21368.515205184533,12.521435737609863,15,,train,274,164,5.923394799232483,4.884981308350689e-17,4.559815806480494,12.528522663116455,0.0,0.0,0.0,-326.1851520518454,21368.515205184533,13.0,425.0,50,0.803030303030303
59,46,12,24015.044766936328,12.510942459106445,16,,train,242,154,1.451120674610138,3.1974423109204507e-16,4.616259069312399,12.516810545921325,0.0,0.0,0.0,-343.8104476693632,24015.044766936328,12.0,383.0,50,0.7796610169491526
73,61,11,22835.08703626194,12.506634712219238,17,,train,190,213,1.0469833463430405,1.5987211554602254e-16,5.553507018698251,12.508061408996582,0.0,0.0,0.0,-326.41087036261933,22835.08703626194,11.0,503.0,50,0.8356164383561644
74,54,19,20855.07895713186,12.506251335144043,18,,train,381,208,0.895658865571022,-1.509903313490213e-16,4.60976305365051,12.505305299758911,0.0,0.0,0.0,-370.9507895713185,20855.07895713186,19.0,520.0,50,0.7297297297297297
78,65,12,23136.22270233143,12.510879516601562,19,,train,188,219,0.8086128979921341,-1.865174681370263e-16,4.4173031824705875,12.511499443054198,0.0,0.0,0.0,-336.8622270233143,23136.22270233143,12.0,475.0,50,0.8333333333333334
74,59,11,22449.898750711433,12.506677627563477,20,,train,235,206,1.242435097694397,-4.796163466380677e-16,4.707741049787058,12.5080109167099,0.0,0.0,0.0,-321.51898750711433,22449.898750711433,11.0,451.0,50,0.7972972972972973
68,56,12,22215.8692390879,12.503769874572754,21,,train,391,195,0.8036309331655502,-7.105427357601002e-17,5.472639188241993,12.504942240715026,0.0,0.0,0.0,-327.838692390879,22215.8692390879,12.0,484.0,50,0.8235294117647058
82,58,24,26163.276416202654,12.500244140625,22,,train,311,201,0.855508103966713,-6.217248937900877e-17,4.890748871477798,12.500279483795167,0.0,0.0,0.0,-465.69276416202644,26163.276416202654,24.0,603.0,50,0.7073170731707317
74,64,6,25914.57377922978,12.50528335571289,23,,train,62,195,0.9576936215162277,-8.615330671091215e-16,5.303721864545069,12.504649896621704,2.0,0.0,0.0,-318.4057377922978,25914.57377922978,6.0,463.0,50,0.8648648648648649
80,67,11,24854.093007076328,12.507121086120605,24,,train,277,224,0.853319451212883,-7.01660951563099e-16,4.655472075854613,12.506623077392579,0.0,0.0,0.0,-346.2609300707633,24854.093007076328,11.0,486.0,50,0.8375
66,57,8,23048.909066027907,12.508550643920898,25,,train,128,185,0.8899155706167221,1.0658141036401502e-16,4.201190791275066,12.507490339279174,0.0,0.0,0.0,-301.749090660279,23048.909066027907,8.0,363.0,50,0.8636363636363636
68,64,2,21363.740183767615,12.507874488830566,26,,train,78,207,0.8329983949661255,-4.263256414560601e-16,3.5395084209194883,12.508593859672546,0.0,0.0,0.0,-235.4374018376761,21363.740183767615,2.0,290.0,50,0.9411764705882353
78,57,20,25208.39305109793,12.5010986328125,27,,train,524,206,0.7607015669345856,-4.440892098500626e-16,5.498908961375254,12.504399700164795,0.0,0.0,0.0,-423.74393051097917,25208.39305109793,20.0,583.0,50,0.7307692307692307
74,58,15,22275.35045703164,12.496597290039062,28,,train,468,218,1.0419467687606812,1.7763568394002505e-17,5.145162005364366,12.500671262741088,0.0,0.0,0.0,-352.93350457031636,22275.35045703164,15.0,509.0,50,0.7837837837837838
77,69,7,24270.250723132347,12.489442825317383,29,,train,142,230,0.8411355316638947,-6.217248937900877e-17,4.340233974402343,12.49348030090332,0.0,0.0,0.0,-307.04250723132355,24270.250723132347,7.0,417.0,50,0.8961038961038961
69,56,13,21713.49322465205,12.480975151062012,30,,train,524,200,1.7955408096313477,-2.6645352591003756e-17,4.238243975405395,12.487026171684265,0.0,0.0,0.0,-329.57493224652046,21713.49322465205,13.0,422.0,50,0.8115942028985508
65,53,12,21759.479429221785,12.474270820617676,31,,train,403,198,0.7877124547958374,5.329070518200751e-17,4.553065782086676,12.481021270751953,0.0,0.0,0.0,-321.8547942922178,21759.479429221785,12.0,413.0,50,0.8153846153846154
71,64,7,21175.259014754905,12.469694137573242,32,,train,137,220,0.7691344022750854,-1.2434497875801754e-16,3.6865967133456325,12.472188386917114,0.0,0.0,0.0,-274.732590147549,21175.259014754905,7.0,349.0,50,0.9014084507042254
68,53,15,23080.517467472226,12.468656539916992,33,,train,354,179,0.7242580950260162,7.105427357601002e-17,4.732842805398781,12.468942866325378,0.0,0.0,0.0,-359.9051746747223,23080.517467472226,15.0,455.0,50,0.7794117647058824
82,58,17,24410.570113556765,12.467784881591797,34,,train,156,210,0.8023897707462311,1.687538997430238e-16,4.177203904227515,12.469247856140136,0.0,0.0,0.0,-390.3857011355676,24410.570113556765,17.0,514.0,50,0.7073170731707317
71,56,14,21338.30382630379,12.46008014678955,35,,train,273,205,0.8816519379615784,-5.151434834260726e-16,4.604207760504887,12.46147313594818,0.0,0.0,0.0,-334.7430382630378,21338.30382630379,14.0,468.0,50,0.7887323943661971
77,58,18,24300.938368418785,12.467623710632324,36,,train,186,201,0.7769642323255539,-1.9539925233402755e-16,4.535001992521899,12.468462085723877,0.0,0.0,0.0,-397.40938368418784,24300.938368418785,18.0,520.0,50,0.7532467532467533
83,54,25,25659.105507805572,12.46218490600586,37,,train,229,207,0.8344087153673172,-2.6645352591003756e-17,5.623228101813514,12.462522792816163,0.0,0.0,0.0,-470.0510550780557,25659.105507805572,25.0,673.0,50,0.6506024096385542
75,69,6,24257.199783912718,12.46372127532959,38,,train,237,208,0.8442312180995941,2.042810365310288e-16,4.9437086267362185,12.463783931732177,0.0,0.0,0.0,-299.59199783912726,24257.199783912718,6.0,451.0,50,0.92
80,59,14,23006.032071158163,12.46408462524414,39,,train,158,215,1.0531728565692902,2.042810365310288e-16,3.8517116176647215,12.46545449733734,0.0,0.0,0.0,-351.4003207115817,23006.032071158163,14.0,467.0,50,0.7375
65,48,17,22058.552770191967,12.461206436157227,40,,train,628,163,1.3782722651958466,-1.5987211554602254e-16,4.079235748303835,12.463025760650634,0.0,0.0,0.0,-365.0855277019197,22058.552770191967,17.0,425.0,50,0.7384615384615385
68,49,15,22549.24304697618,12.45750617980957,41,,train,132,168,0.8543195873498917,-9.769962616701378e-17,4.52871473491334,12.459918622970582,0.0,0.0,0.0,-354.3924304697618,22549.24304697618,15.0,445.0,50,0.7205882352941176
62,52,9,21760.630964962987,12.455521583557129,42,,train,258,189,0.8487063050270081,2.2204460492503132e-17,4.611023476844775,12.457535586357118,3.0,0.0,0.0,-300.14630964962987,21760.630964962987,9.0,377.0,50,0.8387096774193549
65,47,18,20627.914448222964,12.457489967346191,43,,train,585,177,2.322321891784668,4.884981308350689e-16,4.7557846066302405,12.457120394706726,4.0,0.0,0.0,-363.63914448222965,20627.914448222964,18.0,468.0,50,0.7230769230769231
83,60,19,25226.980360483154,12.462718963623047,44,,train,148,217,0.7998478561639786,2.3980817331903383e-16,5.049721566691412,12.46103377342224,0.0,0.0,0.0,-415.90980360483155,25226.980360483154,19.0,582.0,50,0.7228915662650602
