R,cell,delta,episodes,lambda_high,method,mover,scene_seed,train_seed,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,reward,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,0,,0.0,0.7105263157894737,2.0434151196048194,21864.577049384665,889,309,-429.9857704938466,114,81,25,0.295,20
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,1,,0.0,0.67,1.6165307286992268,19707.670555347595,274,265,-390.5567055534759,100,67,23,0.2955,22
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,2,,0.0,0.8191489361702128,1.7161696621918894,21171.802378221513,236,286,-322.89802378221515,94,77,13,0.223,11
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,3,,0.0,0.7821782178217822,2.271419973638909,22430.188008177032,1197,296,-369.34188008177046,101,79,17,0.192,13
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,4,,0.0,0.673469387755102,1.7940293876785207,21017.5541334551,1131,267,-411.9955413345511,98,66,24,0.226,16
800.0,R800-l0.2,,,0.2,B3-hover,,0,,0.0,0.5688073394495413,1.251818872925062,14600.109278277785,36,231,-438.4010927827778,109,62,35,0.325,35
800.0,R800-l0.2,,,0.2,B3-hover,,1,,0.0,0.6138613861386139,1.5963840973513586,15428.156944413831,449,244,-404.9215694441384,101,62,30,0.3,26
800.0,R800-l0.2,,,0.2,B3-hover,,2,,0.0,0.7191011235955056,1.6409448809282141,15577.968639473362,341,248,-291.2196863947336,89,64,16,0.175,14
800.0,R800-l0.2,,,0.2,B3-hover,,3,,0.0,0.7011494252873564,1.533889337496867,15929.907700315496,838,232,-343.839077003155,87,61,22,0.175,16
800.0,R800-l0.2,,,0.2,B3-hover,,4,,0.0,0.625,1.3258462264369417,15101.741256694731,676,215,-392.5174125669474,88,55,29,0.25,23
800.0,R800-l0.2,-,500,0.2,B4-flat,patrol,0,100,93.37,0.5773195876288659,2.7007906466235077,20404.223196402105,180,245,,97,56,33,0.295,20
800.0,R800-l0.2,-,500,0.2,B4-flat,patrol,1,101,91.13,0.5824175824175825,4.150614468225539,25191.120943956823,108,170,,91,53,29,0.3075,22
800.0,R800-l0.2,-,500,0.2,B4-flat,patrol,2,102,92.93,0.5324675324675324,3.3415961985080167,27100.21762602828,33,118,,77,41,25,0.2475,16
800.0,R800-l0.2,-,500,0.2,B4-flat,patrol,3,103,90.16,0.6162790697674418,2.6210526818348034,19865.32571890833,199,211,,86,53,22,0.206,14
800.0,R800-l0.2,-,500,0.2,B4-flat,patrol,4,104,90.24,0.6774193548387096,4.117743787721303,28295.09695070714,82,184,,93,63,22,0.238,18
