R,cell,delta,episodes,lambda_high,method,mover,scene_seed,train_seed,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,reward,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
600.0,R600-l0.1,,,0.1,Ours(T-patrol),,0,,0.0,0.4375,1.3897336088356287,17892.59669966729,160,152,-478.1259669966727,80,35,36,0.5375,36
600.0,R600-l0.1,,,0.1,Ours(T-patrol),,1,,0.0,0.5342465753424658,1.6666048155505542,18476.51019025915,241,157,-410.06510190259166,73,39,27,0.467,26
600.0,R600-l0.1,,,0.1,Ours(T-patrol),,2,,0.0,0.71875,2.080395778942819,18989.26345439259,143,180,-292.0726345439259,64,46,12,0.367,12
600.0,R600-l0.1,,,0.1,Ours(T-patrol),,3,,0.0,0.524390243902439,1.813195275580275,18796.684251210627,232,174,-446.10684251210614,82,43,31,0.473,30
600.0,R600-l0.1,,,0.1,Ours(T-patrol),,4,,0.0,0.5675675675675675,1.02572573967612,18383.048606868193,23,162,-432.650486068682,74,42,30,0.407,30
600.0,R600-l0.1,,,0.1,B3-hover,,0,,0.0,0.45348837209302323,1.1566804730299474,13429.068578880899,91,155,-449.810685788809,86,39,38,0.5,37
600.0,R600-l0.1,,,0.1,B3-hover,,1,,0.0,0.375,0.9009128432680492,12666.516742817594,206,113,-392.38516742817603,72,27,32,0.475,30
600.0,R600-l0.1,,,0.1,B3-hover,,2,,0.0,0.5396825396825397,1.0300845826666343,13675.65989144856,27,131,-328.1965989144856,63,34,23,0.4,23
600.0,R600-l0.1,,,0.1,B3-hover,,3,,0.0,0.48148148148148145,1.4782877037345439,13950.60458032579,223,158,-405.90604580325794,81,39,32,0.4,31
600.0,R600-l0.1,,,0.1,B3-hover,,4,,0.0,0.4805194805194805,0.9151041036926062,13288.630420984753,21,140,-414.94630420984754,77,37,34,0.375,34
600.0,R600-l0.1,-,250,0.1,B4-flat,patrol,0,100,44.11,0.45,2.223250279353725,20681.88235318927,154,119,,80,36,36,0.5375,36
