cell,R,lambda_high,method,seeds,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
R600-l0.1,600.0,0.1,B3-hover,5,0.4660±0.0535,1.0962±0.2121,13402.0960±431.3647,113.6000±86.1292,139.4000±16.4754,75.8000±7.8842,35.2000±4.4900,31.8000±4.9153,0.4300±0.0485,31.0000±4.6904
R600-l0.1,600.0,0.1,B4-flat,5,0.4772±0.0328,2.9215±0.6465,21683.4742±1430.6035,126.8000±74.7995,123.6000±12.4193,75.0000±6.0332,35.6000±1.0198,30.0000±6.4807,0.4520±0.0613,27.6000±8.3331
R600-l0.1,600.0,0.1,Ours(T-patrol),5,0.5565±0.0918,1.5951±0.3618,18507.6206±376.9027,159.8000±78.4892,165.0000±10.4690,74.6000±6.3119,41.0000±3.7417,27.2000±8.1339,0.4503±0.0587,26.8000±8.0598
R600-l0.2,600.0,0.2,B3-hover,5,0.4045±0.0758,1.0845±0.1776,13395.1565±732.8300,179.6000±263.3527,146.6000±28.4507,91.4000±8.4048,37.0000±7.9246,43.8000±3.4871,0.4300±0.0485,42.6000±4.5869
R600-l0.2,600.0,0.2,B4-flat,5,0.4307±0.0801,3.4505±0.7800,21568.8529±935.9024,94.0000±70.4074,133.4000±28.6747,88.6000±5.0040,37.8000±4.7917,38.0000±7.3485,0.4520±0.0613,35.6000±7.9649
R600-l0.2,600.0,0.2,Ours(T-patrol),5,0.4911±0.0668,1.7823±0.4543,18584.0565±427.9935,300.2000±191.2082,183.8000±21.8394,92.4000±9.4995,45.0000±4.7749,37.8000±8.0100,0.4503±0.0587,36.6000±8.1878
R800-l0.1,800.0,0.1,B3-hover,5,0.6674±0.0862,1.2850±0.0891,14399.1547±416.0308,333.8000±186.0295,201.6000±15.1076,78.2000±5.1536,51.8000±3.8678,19.4000±6.9742,0.2450±0.0620,17.0000±7.1833
R800-l0.1,800.0,0.1,B4-flat,5,0.6759±0.0226,3.1218±0.7531,22927.3123±1320.0469,151.4000±62.7681,175.8000±11.0887,75.4000±5.3889,51.0000±4.3359,19.2000±2.8566,0.2431±0.0406,15.0000±4.3818
R800-l0.1,800.0,0.1,Ours(T-patrol),5,0.7226±0.0687,1.5237±0.1221,19438.3116±297.2102,442.6000±119.4414,224.2000±24.5471,79.8000±5.4553,57.6000±5.9532,18.4000±4.8826,0.2463±0.0417,15.4000±5.4626
R800-l0.2,800.0,0.2,B3-hover,5,0.6456±0.0562,1.4698±0.1534,15327.5768±450.7384,468.0000±276.8675,234.0000±11.5758,94.8000±8.7270,60.8000±3.0594,26.4000±6.6513,0.2450±0.0620,22.8000±7.5206
R800-l0.2,800.0,0.2,B4-flat,5,0.5980±0.0801,3.8921±0.6053,25638.5784±3486.3000,175.6000±146.6896,181.2000±27.3744,91.4000±5.1225,54.4000±5.7480,27.0000±6.1319,0.2431±0.0406,16.8000±5.5642
R800-l0.2,800.0,0.2,Ours(T-patrol),5,0.7311±0.0597,1.8883±0.2380,21238.3584±917.4745,745.4000±413.5111,284.6000±16.8594,101.4000±6.7409,74.0000±6.2610,20.4000±4.6303,0.2463±0.0417,16.4000±4.1280
R900-l0.1,900.0,0.1,B3-hover,5,0.7956±0.0572,1.4047±0.0782,15149.5923±566.9880,470.6000±149.4464,237.0000±7.4297,78.4000±5.0040,62.2000±3.6551,12.4000±4.3174,0.1400±0.0436,8.6000±3.4986
R900-l0.1,900.0,0.1,B4-flat,5,0.6927±0.0558,3.6106±0.6187,25173.3744±1272.6028,153.4000±91.8534,166.6000±28.3662,75.0000±7.2938,52.0000±7.0427,16.4000±4.2708,0.1750±0.0329,9.8000±1.7205
R900-l0.1,900.0,0.1,Ours(T-patrol),5,0.8123±0.0124,1.6912±0.2072,20280.6698±754.5782,478.6000±234.9856,247.8000±21.2452,80.8000±6.0465,65.6000±4.6303,10.8000±2.3152,0.1721±0.0353,7.2000±2.2271
R900-l0.2,900.0,0.2,B3-hover,5,0.7895±0.0444,1.7892±0.1351,18035.6650±1081.1394,870.8000±327.8106,310.6000±21.4905,107.6000±8.9129,84.8000±6.9971,15.8000±6.8235,0.1400±0.0436,10.4000±5.7131
R900-l0.2,900.0,0.2,B4-flat,5,0.6759±0.0598,3.6535±0.3449,22695.2265±1068.3210,293.6000±152.5393,240.4000±14.1789,93.0000±8.3187,62.4000±2.3324,23.2000±5.9464,0.1750±0.0329,10.4000±2.7276
R900-l0.2,900.0,0.2,Ours(T-patrol),5,0.8128±0.0170,1.9074±0.1989,22481.4149±1539.7408,941.0000±323.1142,313.8000±29.6000,104.0000±11.0815,84.6000±9.7077,12.8000±2.7857,0.1721±0.0353,7.4000±2.8705
