cell,N,K,method,seed,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
N30-K3,30,3,Ours(T-patrol),0,0.6619718309859155,1.3732195094423503,18714.290216847672,822,192,0,71,47,18,0.3233333333333333,15
N30-K3,30,3,Ours(T-patrol),1,0.7866666666666666,2.065102446259747,20208.097299089408,247,215,0,75,59,10,0.2633333333333333,9
N30-K3,30,3,Ours(T-patrol),2,0.7910447761194029,2.052665625320825,19770.95790266225,189,210,0,67,53,5,0.214,4
N30-K3,30,3,Ours(T-patrol),3,0.7564102564102564,2.035206474654227,20177.31492624726,672,221,0,78,59,14,0.202,12
N30-K3,30,3,Ours(T-patrol),4,0.6811594202898551,0.9023351923925405,17686.755089001977,21,194,0,69,47,19,0.2793333333333333,19
N30-K3,30,3,B3-hover,0,0.6986301369863014,1.1901222899212058,13729.74490377599,347,199,0,73,51,18,0.3333333333333333,16
N30-K3,30,3,B3-hover,1,0.7222222222222222,1.3707628314493279,14898.528190837666,174,188,0,72,52,16,0.26666666666666666,15
N30-K3,30,3,B3-hover,2,0.7333333333333333,1.4046301937713508,14809.617461934895,50,158,0,60,44,11,0.2,11
N30-K3,30,3,B3-hover,3,0.7027027027027027,1.1306106398476445,14058.660646992927,385,200,0,74,52,18,0.2,15
N30-K3,30,3,B3-hover,4,0.6811594202898551,0.9219020080922045,13260.611893312765,25,189,0,69,47,20,0.26666666666666666,20
N30-K3,30,3,B2-chase,0,0.726027397260274,1.256897218779615,15297.539269990146,372,206,0,73,53,17,0.31466666666666665,15
N30-K3,30,3,B2-chase,1,0.7733333333333333,1.7364626875637494,16667.58982190661,329,221,0,75,58,11,0.25333333333333335,10
N30-K3,30,3,B2-chase,2,0.855072463768116,2.154678886159998,17531.61993765031,135,205,0,69,59,6,0.18266666666666667,6
N30-K3,30,3,B2-chase,3,0.7317073170731707,1.4259615056726422,16528.41897120987,514,232,0,82,60,17,0.24,14
N30-K3,30,3,B2-chase,4,0.6811594202898551,0.9200680640988458,13900.611893159812,25,189,0,69,47,20,0.26666666666666666,20
N30-K3,30,3,B6-noVWprune,0,0.7428571428571429,1.7335207868223732,20463.341239553807,227,203,0,70,52,17,0.3233333333333333,14
N30-K3,30,3,B6-noVWprune,1,0.84,2.489270593805449,23288.23991147908,167,211,0,75,63,11,0.2633333333333333,10
N30-K3,30,3,B6-noVWprune,2,0.7910447761194029,2.2068703719671894,21015.960049162317,137,206,0,67,53,5,0.214,4
N30-K3,30,3,B6-noVWprune,3,0.75,2.279671566725091,21268.94892442745,151,234,0,80,60,14,0.202,12
N30-K3,30,3,B6-noVWprune,4,0.6811594202898551,0.9877284064974272,18414.096444865092,77,189,0,69,47,19,0.2793333333333333,19
N30-K3,30,3,B4-flat,0,0.5970149253731343,3.2287384830442027,25274.53572386249,67,110,0,67,40,19,0.3233333333333333,14
N30-K3,30,3,B4-flat,1,0.6949152542372882,4.410206374594743,24364.22950734117,83,111,0,59,41,13,0.2673333333333333,10
N30-K3,30,3,B4-flat,2,0.7333333333333333,2.5044635997061535,18948.413488291353,100,177,0,60,44,9,0.23133333333333334,6
N30-K3,30,3,B4-flat,3,0.7297297297297297,2.590134829064056,20505.99857259461,186,205,0,74,54,9,0.188,6
