cell,N,K,method,seeds,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
N30-K3,30,3,B2-chase,5,0.7535±0.0586,1.4988±0.4208,15985.1560±1262.5801,275.0000±174.0954,210.6000±14.7323,0.0000±0.0000,73.6000±4.8000,55.4000±4.8415,14.2000±5.0359,0.2515±0.0426,13.0000±4.7329
N30-K3,30,3,B3-hover,5,0.7076±0.0183,1.2036±0.1751,14151.4326±627.9089,196.2000±148.0289,186.8000±15.2237,0.0000±0.0000,69.6000±5.0833,49.2000±3.1875,16.6000±3.0725,0.2533±0.0499,15.4000±2.8705
N30-K3,30,3,B4-flat,5,0.6631±0.0711,3.1006±0.7010,22294.1300±2348.0336,100.0000±44.8776,144.6000±39.0620,0.0000±0.0000,65.2000±5.4185,43.2000±5.8447,14.2000±4.9960,0.2577±0.0456,11.0000±4.9800
N30-K3,30,3,B6-noVWprune,5,0.7610±0.0529,1.9394±0.5362,20890.1173±1563.5318,151.8000±48.3752,208.6000±14.6506,0.0000±0.0000,72.2000±4.7074,55.0000±5.7619,13.2000±4.9153,0.2564±0.0443,11.8000±4.9153
N30-K3,30,3,Ours(T-patrol),5,0.7355±0.0539,1.6857±0.4716,19311.4831±975.8155,390.2000±304.3547,206.4000±11.4996,0.0000±0.0000,72.0000±4.0000,53.0000±5.3666,13.2000±5.1923,0.2564±0.0443,11.8000±5.1147
N40-K2,40,2,B2-chase,5,0.7215±0.0530,2.0237±0.6426,13381.3664±1955.4693,692.0000±362.1386,278.6000±35.4773,0.0000±0.0000,96.6000±10.7815,69.6000±8.9577,19.8000±5.6000,0.2603±0.0723,15.0000±6.1644
N40-K2,40,2,B3-hover,5,0.6360±0.1129,1.3016±0.2152,10343.6479±721.9697,472.6000±363.7140,233.6000±36.0644,0.0000±0.0000,92.4000±8.2608,58.4000±9.5624,28.0000±10.0200,0.2600±0.0903,24.8000±9.3038
N40-K2,40,2,B4-flat,5,0.5701±0.0790,3.2489±0.7066,17414.9713±1141.2061,178.4000±53.0683,194.0000±25.5969,0.0000±0.0000,92.2000±9.5373,52.2000±6.2738,29.6000±6.2801,0.2869±0.0603,22.8000±5.4185
N40-K2,40,2,B6-noVWprune,5,0.6835±0.0915,2.0355±0.1429,15053.8887±643.7832,186.6000±46.9493,261.2000±21.5444,0.0000±0.0000,95.8000±11.0526,64.6000±4.6303,25.4000±9.0907,0.2869±0.0603,21.6000±9.0244
N40-K2,40,2,Ours(T-patrol),5,0.6685±0.0886,2.0529±0.0859,14613.6816±1047.3983,779.2000±368.0812,258.8000±34.0905,0.0000±0.0000,96.0000±11.1535,63.6000±7.6053,26.2000±9.6000,0.2869±0.0603,22.6000±9.5415
N40-K3,40,3,B2-chase,5,0.7452±0.0424,1.8982±0.2369,19078.7148±247.1344,571.0000±302.2840,284.4000±12.8156,0.0000±0.0000,101.8000±7.7820,75.6000±3.7202,20.6000±5.3889,0.2293±0.0655,17.0000±6.8411
N40-K3,40,3,B3-hover,5,0.6456±0.0562,1.4698±0.1534,15327.5768±450.7384,468.0000±276.8675,234.0000±11.5758,0.0000±0.0000,94.8000±8.7270,60.8000±3.0594,26.4000±6.6513,0.2450±0.0620,22.8000±7.5206
N40-K3,40,3,B4-flat,5,0.5859±0.0600,3.3958±0.5745,23446.9352±3056.2067,194.2000±113.3938,202.8000±19.4977,0.0000±0.0000,94.2000±7.4940,55.0000±5.6214,28.6000±5.4991,0.2431±0.0406,16.0000±4.8580
N40-K3,40,3,B6-noVWprune,5,0.7436±0.0325,2.0758±0.0870,22275.7319±651.9235,264.2000±109.2674,274.6000±24.4344,0.0000±0.0000,96.8000±8.4947,72.0000±7.3485,20.4000±2.9394,0.2463±0.0417,16.2000±3.2496
N40-K3,40,3,Ours(T-patrol),5,0.7311±0.0597,1.8883±0.2380,21238.3584±917.4745,745.4000±413.5111,284.6000±16.8594,0.0000±0.0000,101.4000±6.7409,74.0000±6.2610,20.4000±4.6303,0.2463±0.0417,16.4000±4.1280
N60-K3,60,3,B2-chase,5,0.7055±0.0959,2.4175±0.5769,23744.8962±2271.5571,1237.2000±487.6111,322.6000±26.1962,0.0000±0.0000,130.8000±17.6114,91.0000±8.2704,27.0000±10.2567,0.1933±0.0788,20.6000±9.2865
N60-K3,60,3,B3-hover,5,0.6574±0.0608,1.5311±0.1181,16684.3510±725.8335,700.4000±254.7647,306.0000±16.3829,0.0000±0.0000,125.0000±11.9331,81.6000±4.7159,34.2000±9.5791,0.2300±0.0806,29.8000±9.8265
N60-K3,60,3,B4-flat,5,0.5087±0.0641,4.0400±0.2237,28010.3755±3151.0002,272.8000±178.2531,235.6000±44.8535,0.0000±0.0000,127.2000±12.7499,64.8000±10.4766,44.8000±7.4404,0.2305±0.0624,25.2000±7.7820
N60-K3,60,3,B6-noVWprune,5,0.7083±0.0614,2.7659±0.2016,26680.1006±1806.4622,335.0000±106.7502,328.8000±21.0656,0.0000±0.0000,132.0000±13.5056,92.8000±4.7497,28.4000±8.2608,0.2360±0.0597,21.6000±8.4522
N60-K3,60,3,Ours(T-patrol),5,0.7023±0.0640,2.3382±0.1958,24342.6914±1885.4324,1124.0000±237.5668,328.2000±18.3456,0.0000±0.0000,131.6000±10.2294,91.8000±2.9933,27.6000±8.6856,0.2360±0.0597,22.2000±8.0598
