scenario,method,episodes,reward_mean,reward_std,reward_min,reward_max,reward_last,latency_mean,latency_p95,latency_max,elapsed_sec
small,random,600,-368.77746320446334,1196.2924878537417,-6045.875598073006,1946.7343802452087,-727.2095185518265,0.0029943671876914,0.0119599924888461,0.4884870052337646,0.0
small,trpo_mlp,600,1507.928811966667,762.0753523737401,-2842.68714,2886.687765,2128.653976,0.0018869809861839,0.0077880557393654,0.2725409269332886,993.0315206050872
small,ppo_mlp,600,1770.208875971667,1025.269646619175,-3412.729119,3456.757847,1949.092981,0.0023663346250109,0.0091199472546577,0.2737278640270233,915.3044407367706
small,gdrl,600,1172.8492483283333,833.0772053794409,-2373.62789,3062.633214,1138.317552,0.002572941238823,0.0115874349605291,0.2631317675113678,2453.06494641304
medium,random,600,-1864.482621425688,1602.8073104529897,-11376.64627790451,687.4350533485413,-745.3760228157043,0.0048554173387413,0.0204474508762359,0.5287002921104431,0.0
medium,trpo_mlp,600,3328.3165753216667,1688.1421534467695,-5458.107405,6376.100855,4932.67582,0.0048450572144314,0.0157638199627399,0.3202333450317383,1131.994126081467
medium,ppo_mlp,600,-96.00766085,1121.5203823902605,-7598.051788,2754.408763,617.723274,0.0034671744526043,0.0156370460987091,0.3301452994346618,775.1719722747803
medium,gdrl,600,3338.339093866666,2104.541102833458,-3979.459263,6010.662888,4399.565133,0.0054315270051769,0.0174005428329109,0.4907217025756836,2559.3031437397003
large,random,600,-1669.6641246810557,1280.290942089673,-7692.098639965057,713.8418898582458,-960.3647692203522,0.0060245456779124,0.0271776191890239,0.4568978548049927,0.0
large,trpo_mlp,600,2402.0780595533333,1531.368380311603,-2980.017281,7300.633613,3824.658332,0.0077172048162651,0.0253793459385633,0.3370890617370605,1321.6851117610931
large,ppo_mlp,600,1009.443852685,1340.466997965856,-5792.098009,5776.092933,3828.257704,0.0065175383546261,0.025356226786971,0.4663090407848358,1108.74396109581
large,gdrl,600,1505.2643236033334,1043.2976471681354,-4822.482846,3975.012482,2117.143065,0.0056601319141068,0.0204479527659713,0.4418057203292846,2627.263985157013
