difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,preset,seed,runtime_s
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-3030.100525602771,570.9552563187361,0.1962478503107596,9.170558621699302,323.1943315572736,332.3648901789728,0.902156862745098,0.09784313725490196,0.3468529411764706,29266,6141,15593,0.573843137254902,0.12041176470588236,0.3057450980392157,k3,1,47.4
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-3408.609490289736,746.7752612757778,0.20055975703452344,8.758789398113084,312.78850473855107,321.54729413666416,0.8846274509803921,0.11537254901960785,0.3491617647058823,29237,7172,14591,0.5732745098039216,0.14062745098039214,0.2860980392156863,k3,1,27.2
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2635.5122177447074,519.6189322921032,0.17475478739122993,8.501708445899242,322.12631204844615,330.6280204943454,0.9161176470588235,0.08388235294117648,0.30685784313725495,31436,5555,14009,0.6163921568627451,0.10892156862745098,0.27468627450980393,k3,7,46.4
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-3046.126017655328,622.2271699459243,0.17995726227781106,8.103901982408855,311.3358984025067,319.43980038491554,0.8972352941176471,0.10276470588235294,0.3085147058823529,31454,6608,12938,0.6167450980392157,0.12956862745098038,0.2536862745098039,k3,7,27.3
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2857.199999197208,241.19281676103347,0.1969804753714207,9.7128322586863,320.2829157709386,329.9957480296249,0.9108039215686276,0.08919607843137255,0.3485686274509804,29012,5782,16206,0.5688627450980392,0.11337254901960785,0.31776470588235295,k3,42,43.8
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-3067.8807913887604,452.3696556640789,0.19899567823732553,9.492547998016793,316.53577578598777,326.02832378400456,0.9009607843137255,0.09903921568627451,0.35015686274509805,28951,6318,15731,0.5676666666666667,0.12388235294117647,0.30845098039215685,k3,42,26.9
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2617.670134963586,850.1566887909996,0.16596517884928036,7.815146858925871,312.66208146363135,320.4772283225573,0.9147450980392156,0.08525490196078431,0.2879803921568628,32689,5645,12666,0.6409607843137255,0.11068627450980392,0.24835294117647058,k3,73,45.0
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-2897.565701287202,1057.2123286635122,0.16843105638587091,7.519446467981399,306.1536907246195,313.67313719260085,0.9016078431372548,0.09839215686274508,0.2895686274509804,32671,6341,11988,0.6406078431372549,0.12433333333333334,0.23505882352941176,k3,73,27.3
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2571.3515450878795,633.1740765665078,0.17602435278670636,8.633436053342002,311.64002270343246,320.2734587567744,0.9195294117647059,0.08047058823529411,0.31109313725490195,31251,5345,14404,0.612764705882353,0.10480392156862745,0.2824313725490196,k3,314,46.2
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-2745.4047197110067,692.1383806068168,0.17813309828816135,8.54096508759647,312.71821932624056,321.25918441383703,0.9115294117647059,0.0884705882352941,0.3110588235294118,31234,5864,13902,0.6124313725490196,0.11498039215686275,0.27258823529411763,k3,314,28.0
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2882.6154571059615,363.6253983826636,0.1915298831564695,9.323518693122566,316.80701138654797,326.1305300796706,0.9081764705882354,0.09182352941176469,0.33605392156862746,29776,5848,15376,0.583843137254902,0.11466666666666667,0.30149019607843136,k3,555,45.2
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-3311.3901928726555,527.4993178800287,0.19645628814936245,8.878290517252958,313.75294259181237,322.6312331090653,0.8883725490196077,0.11162745098039215,0.3385735294117647,29778,6839,14383,0.5838823529411765,0.13409803921568628,0.28201960784313723,k3,555,28.0
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2580.3127521394626,425.5839191856098,0.17589367035023784,8.7231260255652,323.82720750692744,332.5503335324926,0.9191176470588236,0.08088235294117647,0.3088137254901961,31356,5297,14347,0.6148235294117647,0.10386274509803922,0.28131372549019606,k3,888,46.1
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-2695.1221005849898,427.0962672882397,0.17694274494275447,8.624576988934065,322.5164367804866,331.1410137694206,0.9137450980392157,0.08625490196078431,0.3093529411764706,31351,5600,14049,0.6147254901960785,0.10980392156862745,0.27547058823529413,k3,888,27.2
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2936.7620125903272,527.6868547592911,0.19177867479859284,9.043631048020401,317.86408012701776,326.9077111750382,0.9055882352941176,0.09441176470588235,0.3400245098039215,29658,6037,15305,0.5815294117647059,0.11837254901960784,0.3000980392156863,k3,999,51.2
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-3318.68472137954,745.0349409704885,0.19560080037319436,8.612651346545416,314.59374341594264,323.206394762488,0.8878039215686275,0.11219607843137254,0.34224999999999994,29639,6930,14431,0.581156862745098,0.13588235294117648,0.2829607843137255,k3,999,32.2
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2679.127738663222,746.4143768241139,0.1740275824868896,8.335910153087355,315.5347696477674,323.87067980085476,0.913764705882353,0.08623529411764706,0.3023725490196078,31776,5691,13533,0.6230588235294118,0.11158823529411764,0.26535294117647057,k3,12345,54.6
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-2970.881709599181,974.4818162071745,0.17675813798124146,7.996427606908709,310.15563134158975,318.1520589484985,0.9001176470588236,0.09988235294117646,0.304421568627451,31773,6411,12816,0.623,0.12570588235294117,0.25129411764705883,k3,12345,32.8
v2x_hotspot_hard,none,pmeo_m_eco_nb,10,-2674.8459158296764,693.2314137465925,0.18415371275852446,9.004909428228267,315.6148981837886,324.61980761201687,0.9165098039215687,0.08349019607843138,0.32498039215686275,30415,5544,15041,0.5963725490196078,0.10870588235294118,0.294921568627451,k3,2024,50.3
v2x_hotspot_hard,none,pmeo_m_eco_cc,10,-2802.938704416553,661.0763294599511,0.1852438205227132,8.927347373431619,313.02485013371927,321.95219750715086,0.9104901960784313,0.08950980392156863,0.3251666666666666,30446,5814,14740,0.5969803921568627,0.114,0.28901960784313724,k3,2024,30.8
