difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,preset,energy_weight,seed,runtime_s
v2x_hotspot_hard,none,pmeo_m,10,-3146.439639023848,602.4477230328415,0.20366484363433107,9.233169070916174,445.66047980495193,454.89364887586805,0.8969019607843137,0.10309803921568628,0.3399313725490196,29797,6630,14573,0.5842549019607843,0.13,0.28574509803921566,k3,0.0001,1,6.9
v2x_hotspot_hard,none,pmeo_m_eco,10,-3027.397207714307,712.7319552421569,0.19557331908972805,8.974356778245264,388.3536788911423,397.32803566938753,0.900686274509804,0.09931372549019608,0.3479901960784314,29359,6129,15512,0.5756666666666667,0.12017647058823529,0.30415686274509807,k3,0.0001,1,47.6
v2x_hotspot_hard,none,mpc_m_h3,10,-3086.488111057294,670.6149141853194,0.1960023901940623,8.880495683269398,398.71161107448467,407.5921067577541,0.8979019607843138,0.10209803921568628,0.3486666666666666,29404,6181,15415,0.5765490196078431,0.12119607843137255,0.3022549019607843,k3,0.0001,1,70.1
v2x_hotspot_hard,none,pmeo_m,10,-3150.254719793611,768.0528269408608,0.18535679062938198,8.068829021872526,445.4399293543879,453.50875837626046,0.8921372549019608,0.1078627450980392,0.3032352941176471,32041,6731,12228,0.6282549019607843,0.13198039215686275,0.23976470588235294,k3,0.0001,7,6.8
v2x_hotspot_hard,none,pmeo_m_eco,10,-2587.5922908432785,532.6308781641445,0.1730068360320571,8.347782534362768,397.3949254443884,405.7427079787511,0.9166078431372549,0.0833921568627451,0.3081176470588235,31523,5341,14136,0.6180980392156863,0.10472549019607844,0.2771764705882353,k3,0.0001,7,44.3
v2x_hotspot_hard,none,mpc_m_h3,10,-2683.696288584607,566.3934305151125,0.17434946853989777,8.238182316514505,403.1617207963472,411.39990311286164,0.9122352941176471,0.08776470588235294,0.3088627450980392,31527,5617,13856,0.6181764705882353,0.11013725490196079,0.2716862745098039,k3,0.0001,7,68.2
v2x_hotspot_hard,none,pmeo_m,10,-3003.3811928770965,377.0251114545142,0.204638365208144,9.638240372631124,442.91479118358086,452.55303155621203,0.9041568627450982,0.09584313725490197,0.3422254901960784,29493,6366,15141,0.5782941176470588,0.12482352941176471,0.2968823529411765,k3,0.0001,42,6.7
v2x_hotspot_hard,none,pmeo_m_eco,10,-2770.4163531836707,217.49852378667578,0.19505644525311278,9.582728245456625,393.2655110340894,402.848239279546,0.913156862745098,0.08684313725490196,0.3499166666666667,29107,5437,16456,0.5707254901960784,0.1066078431372549,0.32266666666666666,k3,0.0001,42,46.3
v2x_hotspot_hard,none,mpc_m_h3,10,-2858.9632931739516,372.3554627977428,0.1961717733764648,9.530108053609677,399.1947873444815,408.72489539809123,0.9090980392156863,0.09090196078431372,0.3502745098039216,29076,5678,16246,0.5701176470588235,0.11133333333333334,0.31854901960784315,k3,0.0001,42,70.1
v2x_hotspot_hard,none,pmeo_m,10,-2697.9928933144342,896.2917211481584,0.17197794635221286,7.882089368945057,442.65460244590514,450.5366918148502,0.9109607843137255,0.0890392156862745,0.2800245098039216,33310,5818,11872,0.6531372549019608,0.11407843137254901,0.2327843137254902,k3,0.0001,73,6.8
v2x_hotspot_hard,none,pmeo_m_eco,10,-2516.173560237625,811.8247666370124,0.16380218870201357,7.698400161653862,390.5413855739538,398.2397857356076,0.9178039215686276,0.08219607843137254,0.2892843137254902,32742,5333,12925,0.642,0.10456862745098039,0.2534313725490196,k3,0.0001,73,47.9
v2x_hotspot_hard,none,mpc_m_h3,10,-2668.7911763855564,971.3794787555304,0.1651028870442893,7.556812183402478,389.08843378464366,396.6452459680462,0.9106470588235294,0.08935294117647057,0.290264705882353,32705,5703,12592,0.6412745098039215,0.11182352941176471,0.24690196078431373,k3,0.0001,73,70.1
v2x_hotspot_hard,none,pmeo_m,10,-2640.047008013638,701.4159681399927,0.18241704048123591,8.720745691449482,443.28941024198855,452.010155933438,0.9164117647058824,0.08358823529411766,0.30362254901960783,31812,5624,13564,0.6237647058823529,0.11027450980392157,0.2659607843137255,k3,0.0001,314,7.1
v2x_hotspot_hard,none,pmeo_m_eco,10,-2503.6677962771414,630.9383926229368,0.17429027928594157,8.509389902188014,390.2278019818371,398.7371918840251,0.9210392156862746,0.0789607843137255,0.3125441176470588,31305,5105,14590,0.6138235294117647,0.10009803921568627,0.286078431372549,k3,0.0001,314,49.9
v2x_hotspot_hard,none,mpc_m_h3,10,-2619.281012087985,641.367612296063,0.1756937023158308,8.406105256438636,395.9069224683549,404.31302772479364,0.9157254901960785,0.08427450980392157,0.3132009803921568,31298,5375,14327,0.613686274509804,0.1053921568627451,0.280921568627451,k3,0.0001,314,83.8
v2x_hotspot_hard,none,pmeo_m,10,-3212.786565411435,563.8170468988626,0.20075814912598505,8.976241041409686,443.02424584966167,452.00048689107126,0.8929215686274512,0.107078431372549,0.3315,30289,6818,13893,0.5939019607843137,0.13368627450980392,0.27241176470588235,k3,0.0001,555,7.8
v2x_hotspot_hard,none,pmeo_m_eco,10,-2733.0784220018636,381.0757582337056,0.18930890433493916,9.269689787746241,391.03129957959794,400.3009893673442,0.9135490196078431,0.08645098039215686,0.33658823529411763,29842,5432,15726,0.5851372549019608,0.10650980392156863,0.3083529411764706,k3,0.0001,555,53.8
v2x_hotspot_hard,none,mpc_m_h3,10,-2787.0695373083336,408.0507253114221,0.18968536471523784,9.227708405932415,398.1900176560581,407.4177260619905,0.9109999999999999,0.089,0.3367843137254901,29848,5567,15585,0.5852549019607843,0.10915686274509805,0.30558823529411766,k3,0.0001,555,76.0
v2x_hotspot_hard,none,pmeo_m,10,-2640.0576260464763,378.4883998304007,0.18186643977583944,8.74059883317725,445.1377201363395,453.8783189695167,0.9162745098039216,0.08372549019607843,0.302171568627451,31871,5628,13501,0.624921568627451,0.11035294117647058,0.26472549019607844,k3,0.0001,888,6.2
v2x_hotspot_hard,none,pmeo_m_eco,10,-2483.793411191793,356.1104633062364,0.17446502872710373,8.66162419992814,393.5148441564414,402.1764683563696,0.9220588235294118,0.07794117647058824,0.3094068627450981,31393,5101,14506,0.6155490196078431,0.10001960784313725,0.2844313725490196,k3,0.0001,888,44.0
v2x_hotspot_hard,none,mpc_m_h3,10,-2512.6101890525665,374.0830893331907,0.17499897875749043,8.655828358242449,402.8839105782406,411.5397389364831,0.9207843137254903,0.07921568627450981,0.3093970588235294,31416,5129,14455,0.616,0.10056862745098039,0.2834313725490196,k3,0.0001,888,66.9
v2x_hotspot_hard,none,pmeo_m,10,-3129.1980263388205,1045.8434826043758,0.19966788441961097,8.951366235958167,440.2302136444734,449.1815798804315,0.8967450980392158,0.10325490196078431,0.3337058823529412,30168,6640,14192,0.5915294117647059,0.13019607843137254,0.27827450980392154,k3,0.0001,999,6.6
v2x_hotspot_hard,none,pmeo_m_eco,10,-2847.4620144836385,521.0557255753245,0.18985649835998053,8.835975701008087,390.55130907273673,399.3872847737449,0.9080784313725492,0.09192156862745098,0.34124999999999994,29767,5677,15556,0.5836666666666667,0.11131372549019608,0.30501960784313725,k3,0.0001,999,43.2
v2x_hotspot_hard,none,mpc_m_h3,10,-2790.8064421238837,496.62336616975927,0.1893208455676874,8.888903081415208,398.124069786353,407.0129728677682,0.9107254901960784,0.08927450980392157,0.3411225490196078,29751,5584,15665,0.5833529411764706,0.10949019607843137,0.307156862745098,k3,0.0001,999,64.2
v2x_hotspot_hard,none,pmeo_m,10,-2968.1154745748145,935.0447275324877,0.1814098325453224,8.023764962854015,444.5090944042249,452.53285936707897,0.900078431372549,0.09992156862745097,0.29807843137254897,32350,6392,12258,0.634313725490196,0.12533333333333332,0.24035294117647057,k3,0.0001,12345,6.4
v2x_hotspot_hard,none,pmeo_m_eco,10,-2565.661709069961,693.9670919969359,0.17177192073058062,8.244681491601511,394.2466529083896,402.4913343999911,0.9173725490196079,0.08262745098039216,0.30428431372549014,31801,5361,13838,0.6235490196078431,0.10511764705882352,0.2713333333333333,k3,0.0001,12345,43.1
v2x_hotspot_hard,none,mpc_m_h3,10,-2601.481379598395,724.95219752884,0.17212056140282556,8.211847868092544,398.439796530339,406.6516443984315,0.9157058823529413,0.08429411764705882,0.3045784313725491,31799,5421,13780,0.6235098039215686,0.10629411764705882,0.27019607843137255,k3,0.0001,12345,66.3
v2x_hotspot_hard,none,pmeo_m,10,-2829.606860198825,978.2393349270566,0.1911936776708178,8.967244238669004,442.94316352678936,451.91040776545833,0.9093137254901962,0.0906862745098039,0.3184607843137255,30895,6087,14018,0.6057843137254902,0.11935294117647059,0.2748627450980392,k3,0.0001,2024,7.1
v2x_hotspot_hard,none,pmeo_m_eco,10,-2516.29381807337,644.1429337785142,0.18139487000848692,9.001546923106487,388.99655608558703,397.9981030086935,0.9221960784313727,0.07780392156862745,0.32554901960784316,30469,5067,15464,0.5974313725490196,0.09935294117647059,0.3032156862745098,k3,0.0001,2024,45.8
v2x_hotspot_hard,none,mpc_m_h3,10,-2528.5617923803857,619.6874726119701,0.18102999658187158,8.933348875700911,401.947632408408,410.8809812841088,0.9215098039215686,0.07849019607843136,0.32625,30492,5017,15491,0.5978823529411764,0.09837254901960785,0.3037450980392157,k3,0.0001,2024,66.9
v2x_hotspot_hard,none,pmeo_m,10,-3187.3796943531097,602.3656656684504,0.20366494841548946,9.224094536178972,445.66047980495193,454.8845743411309,0.8969019607843137,0.10309803921568628,0.34001470588235294,29797,6627,14576,0.5842549019607843,0.12994117647058823,0.28580392156862744,k3,0.001,1,6.5
v2x_hotspot_hard,none,pmeo_m_eco,10,-3311.576962586839,740.9919544520616,0.19934350946782714,8.796779211078015,316.45386379812214,325.25064300920013,0.8890980392156862,0.11090196078431372,0.34915686274509805,29252,6940,14808,0.5735686274509804,0.13607843137254902,0.2903529411764706,k3,0.001,1,44.1
v2x_hotspot_hard,none,mpc_m_h3,10,-3296.7951864965225,706.5577735233046,0.1992060488636062,8.844263488676383,323.59910943262946,332.44337292130587,0.8898235294117647,0.11017647058823529,0.3488676470588235,29253,6877,14870,0.5735882352941176,0.13484313725490196,0.2915686274509804,k3,0.001,1,66.8
v2x_hotspot_hard,none,pmeo_m,10,-3191.070213655381,768.0519665066902,0.18535685555667286,8.062573809100655,445.4399293543879,453.50250316348854,0.8921372549019608,0.1078627450980392,0.3032941176470588,32041,6728,12231,0.6282549019607843,0.13192156862745097,0.2398235294117647,k3,0.001,7,6.5
v2x_hotspot_hard,none,pmeo_m_eco,10,-2972.9908229910034,679.940666022136,0.17847384752333922,8.082246004309036,311.65976021542076,319.7420062197298,0.9004509803921568,0.09954901960784313,0.30938725490196084,31444,6404,13152,0.6165490196078431,0.12556862745098038,0.25788235294117645,k3,0.001,7,45.7
v2x_hotspot_hard,none,mpc_m_h3,10,-2911.860752337501,518.9755409712776,0.1780691887492365,8.1789110954905,320.899986068459,329.0788971639495,0.903392156862745,0.09660784313725491,0.30882352941176466,31443,6295,13262,0.6165294117647059,0.1234313725490196,0.2600392156862745,k3,0.001,7,65.4
v2x_hotspot_hard,none,pmeo_m,10,-3044.111343389218,377.2267097874956,0.20463858709586144,9.63070081966678,442.91479118358086,452.5454920032477,0.9041568627450982,0.09584313725490197,0.3422892156862745,29493,6365,15142,0.5782941176470588,0.12480392156862745,0.29690196078431375,k3,0.001,42,6.5
v2x_hotspot_hard,none,pmeo_m_eco,10,-2887.184015690672,263.94271569412854,0.19720015141048913,9.653310948950574,316.979124022819,326.63243497176956,0.9093725490196076,0.09062745098039214,0.3489019607843137,29031,5828,16141,0.5692352941176471,0.11427450980392156,0.3164901960784314,k3,0.001,42,42.3
v2x_hotspot_hard,none,mpc_m_h3,10,-3121.2000433344406,685.6193873573488,0.19940727305943726,9.41075566493879,316.81875164816444,326.2295073131032,0.8984509803921569,0.10154901960784313,0.35060294117647056,28971,6441,15588,0.5680588235294117,0.12629411764705883,0.30564705882352944,k3,0.001,42,65.9
v2x_hotspot_hard,none,pmeo_m,10,-2738.542615958619,896.1078947148853,0.1719784130980538,7.872489139538617,442.65460244590514,450.52709158544366,0.9109607843137255,0.0890392156862745,0.28011274509803924,33310,5816,11874,0.6531372549019608,0.11403921568627451,0.2328235294117647,k3,0.001,73,6.5
v2x_hotspot_hard,none,pmeo_m_eco,10,-2772.570348277838,1017.9488200703901,0.16739302507195492,7.635065305036408,309.02413880364634,316.6592041086828,0.9074901960784313,0.09250980392156863,0.288578431372549,32698,6038,12264,0.6411372549019608,0.1183921568627451,0.24047058823529413,k3,0.001,73,44.5
v2x_hotspot_hard,none,mpc_m_h3,10,-2895.3591726413456,1061.9756694306707,0.16819269137551324,7.44473659294764,308.3197296693339,315.7644662622816,0.9016666666666666,0.09833333333333331,0.29046568627450975,32674,6311,12015,0.6406666666666667,0.12374509803921568,0.23558823529411765,k3,0.001,73,67.4
v2x_hotspot_hard,none,pmeo_m,10,-2680.7273426268284,701.262174769242,0.1824171405161521,8.709849702541812,443.28941024198855,451.9992599445303,0.9164117647058824,0.08358823529411766,0.30370588235294116,31812,5624,13564,0.6237647058823529,0.11027450980392157,0.2659607843137255,k3,0.001,314,6.4
v2x_hotspot_hard,none,pmeo_m_eco,10,-2604.4208843510924,645.7778888959867,0.17686031481323233,8.611843106423441,311.7209449296518,320.3327880360752,0.9181176470588236,0.08188235294117648,0.311093137254902,31259,5427,14314,0.612921568627451,0.10641176470588236,0.2806666666666667,k3,0.001,314,44.8
v2x_hotspot_hard,none,mpc_m_h3,10,-2721.8907490549072,700.4542293302645,0.17779135933215123,8.503548714597917,319.04461589476495,327.5481646093629,0.9126274509803922,0.08737254901960784,0.3120490196078431,31247,5719,14034,0.612686274509804,0.11213725490196079,0.2751764705882353,k3,0.001,314,66.8
v2x_hotspot_hard,none,pmeo_m,10,-3253.4662557057604,563.7941032187933,0.20075825118381768,8.96750083323533,443.02424584966167,451.991746682897,0.8929215686274512,0.107078431372549,0.33157843137254905,30289,6817,13894,0.5939019607843137,0.13366666666666666,0.2724313725490196,k3,0.001,555,6.7
v2x_hotspot_hard,none,pmeo_m_eco,10,-3079.307253127062,529.8183243666775,0.19366185397712118,9.076870927448184,315.2411075099909,324.31797843743914,0.8990588235294117,0.10094117647058824,0.3379509803921569,29779,6235,14986,0.5839019607843138,0.12225490196078431,0.29384313725490196,k3,0.001,555,44.4
v2x_hotspot_hard,none,mpc_m_h3,10,-3270.9844696125797,571.7125285615803,0.19573913848868849,8.911633710654298,322.2369994920315,331.1486332026858,0.8902156862745099,0.10978431372549018,0.33897549019607837,29771,6741,14488,0.5837450980392157,0.13217647058823528,0.284078431372549,k3,0.001,555,63.2
v2x_hotspot_hard,none,pmeo_m,10,-2680.9062351667844,378.45120940448527,0.18186650045430958,8.733108361711865,445.1377201363395,453.87082849805137,0.9162745098039216,0.08372549019607843,0.3022303921568627,31871,5627,13502,0.624921568627451,0.11033333333333334,0.2647450980392157,k3,0.001,888,6.3
v2x_hotspot_hard,none,pmeo_m_eco,10,-2612.7628736727966,407.39770206584427,0.17615953885365224,8.68661671767234,318.80563847403175,327.4922551917041,0.9175686274509804,0.0824313725490196,0.3091470588235294,31362,5385,14253,0.6149411764705882,0.10558823529411765,0.27947058823529414,k3,0.001,888,44.5
v2x_hotspot_hard,none,mpc_m_h3,10,-2688.022245382167,475.11540572287396,0.17717505897633193,8.599273712619208,327.69517231612355,336.29444602874275,0.9141764705882354,0.0858235294117647,0.30977941176470586,31358,5559,14083,0.6148627450980392,0.109,0.2761372549019608,k3,0.001,888,64.3
v2x_hotspot_hard,none,pmeo_m,10,-3169.6256813359328,1045.9069732042076,0.19966830834587498,8.942874075222544,440.2302136444734,449.17308771969584,0.8967450980392158,0.10325490196078431,0.3337843137254902,30168,6638,14194,0.5915294117647059,0.13015686274509805,0.27831372549019606,k3,0.001,999,6.4
v2x_hotspot_hard,none,pmeo_m_eco,10,-3067.6424968890037,668.0177495796113,0.19309312831145917,8.824573937760825,315.85085106786653,324.6754250056274,0.8994901960784315,0.10050980392156864,0.3414117647058823,29662,6316,15022,0.5816078431372549,0.12384313725490197,0.29454901960784313,k3,0.001,999,43.4
v2x_hotspot_hard,none,mpc_m_h3,10,-2980.875136909033,518.4592947003423,0.19211547333748308,8.939387759173295,325.9228411195253,334.8622288786986,0.9035490196078433,0.09645098039215685,0.34106372549019603,29650,6070,15280,0.5813725490196079,0.11901960784313725,0.2996078431372549,k3,0.001,999,65.8
